manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
5319.9031681461265,2835.9443069532617,5607.002141408402,5642.985261453882,5422.0664494016955,5467.7719433070815
5308.180066276434,2836.1533447803486,5607.333558822143,5639.221826430861,5398.655784340334,5423.298088400566
5301.256720564158,2837.552299290502,5592.710087193624,5641.693099120751,5402.071860971964,5432.116299221881
5348.188393375253,2842.8786002850993,5601.581196483285,5678.128081627275,5440.814910989332,5468.031481541107
5385.8656223194575,2847.8992239010477,5645.153290017545,5710.592472478125,5453.39321252371,5487.721309181076
5413.732966684977,2845.790164034292,5649.088267002948,5697.313889874188,5449.393492346033,5506.482828247552
5394.463655484146,2843.11509954761,5653.818962567093,5701.574695340588,5444.892860728202,5501.995606786871
5344.895884418372,2836.7543957440193,5651.21393764231,5690.6546583739855,5418.8267776944485,5484.337441194125
5333.893428093054,2837.45432933578,5629.281897081233,5665.323874168171,5415.812430890508,5454.237949265771
5343.17928943542,2833.3673085138694,5612.71210047029,5674.599306052742,5406.9617532508655,5452.23529644657
5350.352713269535,2834.744868706242,5620.060131721396,5695.129341513468,5419.287746829871,5429.280728632047
5354.591687534387,2844.652024368514,5619.492325826084,5685.203991432418,5409.816436690285,5440.761193639184
5341.783838999931,2844.282938163551,5622.915646552412,5685.133639130781,5398.8700130040925,5430.787380746512
5338.888307553333,2845.5887652880156,5613.793460705379,5643.121873972688,5377.6332966806385,5440.440004352354
5336.3997855802645,2838.794671696721,5606.983397955155,5649.377087301471,5379.4741753772005,5408.401830839494
5368.870623268217,2823.7639516868285,5600.3205950940555,5669.231718072397,5410.090321424896,5421.85283078333
5399.873240409641,2829.0112023994784,5606.941135625341,5664.208008727755,5400.0558695223135,5427.383425913321
5385.945622390707,2820.6340710930403,5623.373651746658,5650.675908267654,5387.933684203074,5418.882595666327
5385.729112445681,2827.438331116923,5636.929131492749,5667.262468566069,5392.723539582522,5413.778536391739
5356.271876418909,2832.8666385841116,5647.642763916721,5683.845153722793,5406.04390109279,5451.18845328479
5323.594537378058,2840.4935594066897,5649.536860634393,5687.421601697589,5424.928632240202,5446.768357077895
5313.946220723322,2838.5360001477466,5627.603506448455,5664.725956687103,5407.14273231445,5446.4747195798245
5290.579791140659,2831.1495847529363,5603.120589610297,5653.390612646758,5413.802968875882,5400.506917940293
5306.8940151704055,2829.54830798587,5594.113575559108,5657.069271863362,5407.732163830146,5396.500886827733
5281.791894073126,2836.980927190567,5577.936973284255,5611.29468937945,5392.824329446162,5407.980658281673
5288.343288126037,2837.332914548537,5587.386951890717,5637.15359515684,5390.5251049703065,5412.762476230988
5333.240771179148,2849.9189143641224,5601.496676255896,5651.592374726892,5410.273896965899,5437.38040341907
