manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
8913.254926104495,4312.130359935659,9317.594453275025,8866.049849846135,8621.574811173727,8869.57777989193
8917.976133232887,4307.442795854389,9325.001588269413,8864.265967053765,8615.099071379498,8825.355167175865
8941.298368098544,4313.103775749194,9298.966557615388,8856.762802608457,8629.06084782766,8815.467730465762
8978.801474032538,4333.325548145101,9281.66651984011,8850.309677067913,8664.893474126546,8879.53152561781
9023.182524865453,4327.025342531628,9338.543343775365,8845.393853468662,8671.986553108207,8879.569038753916
8999.682334126346,4332.613466328276,9307.929481035271,8879.757038562826,8668.832172341763,8905.024653245046
9044.941467713752,4347.363084435195,9345.61704862569,8831.948193507555,8654.403283433458,8881.691673374964
9044.637502664771,4313.2270206004705,9303.096831681096,8823.083537817036,8596.699369474918,8833.981489512276
9004.78587154546,4305.387114272892,9279.370000328327,8836.437124875834,8581.11504116018,8855.938434310923
9005.598910969618,4342.329874399712,9303.675347842724,8863.63329479712,8646.222611591618,8893.046291262423
8997.66177491065,4332.661738063362,9336.510982460219,8862.78292004805,8664.05195994555,8886.067974488147
8981.424237081195,4317.732863002439,9316.813334995131,8879.91103074073,8667.528331794654,8874.215901676005
8957.978149708837,4341.002953264722,9316.967498379601,8855.379049319166,8656.610087450088,8868.680263499013
8949.538328203336,4330.079751509418,9292.13626706097,8802.494575275148,8650.525529990611,8850.656026323455
8952.031083178283,4320.881885428655,9288.178752491549,8856.377248624716,8618.819078962448,8835.04544477532
8992.443839347421,4338.186292789197,9306.774642397118,8856.895036485685,8638.136905349551,8892.667228798222
9004.343624481691,4334.2825192735945,9318.106869367708,8903.177449642451,8651.109689446463,8904.131065632257
9051.940047507213,4356.195744861176,9352.964372960392,8876.898594232778,8670.350749699024,8904.901092536385
9066.90468657375,4362.534582343941,9347.401679570554,8836.27767224536,8636.93460528376,8883.462319260876
9033.889151747171,4332.984334230834,9355.878725848163,8848.421941407081,8616.867293062627,8846.672247691597
9000.1447822768,4348.823799881007,9310.874111259169,8843.387353898093,8659.145280310435,8894.366987691837
8950.294895686135,4361.643651185387,9278.382245588598,8811.409538200602,8597.854882888461,8851.719617638144
8927.147839861665,4324.070480693393,9238.827084666087,8810.180937453602,8597.888553646146,8822.480470859151
8955.017249750803,4352.624420250751,9273.243078180212,8849.131894074664,8645.541635579162,8891.445347972234
9000.668425336335,4346.265633085108,9274.823463023144,8849.883869332913,8592.185697988287,8846.38259252321
8988.138192875258,4322.716536371574,9255.997687624636,8861.275497002687,8584.479446123592,8867.808623088304
8944.16261062186,4309.213130062453,9236.985527233497,8809.249164547566,8552.452540588232,8843.82608197956
