manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
8036.078912884135,4043.647221119263,8950.461347284743,8429.443551381295,7268.642208223855,8199.180005752622
8027.54775805339,4044.8174845192266,8933.168104760683,8420.076932970547,7262.027829838009,8200.019131748408
8035.480732928687,4044.607539616215,8888.125758725353,8408.67978656926,7247.647411075494,8191.352485196123
8050.830271944367,4049.3436963012055,8926.70714191848,8410.507912657695,7269.331686487694,8203.814890245512
8073.873834513401,4053.611987274572,8953.738738186263,8444.618386325317,7285.139463413886,8218.342316505763
8074.453567387293,4050.0004500430073,8948.68491113925,8452.563366550847,7263.489039251966,8226.109225040931
8056.416991303025,4046.659194396491,8953.721713100767,8447.280455838205,7249.5384757099455,8210.765743800546
8054.751347066319,4047.026125579564,8937.42216917039,8413.563017010378,7247.339658527835,8202.529328340104
8041.705346110803,4037.2897671449095,8919.815260005253,8400.70427326299,7225.9079358085555,8193.846694552332
8053.022042336308,4023.357814356118,8924.880859606441,8382.669903966818,7230.819133744303,8182.383073598469
8003.572118218122,4021.1332680584883,8902.388768042252,8395.103683588128,7201.814281950813,8173.420854338216
8013.065297810363,4014.5501616103525,8888.721152486332,8384.100633050624,7220.699321549899,8183.517852351314
8020.016305904642,4024.4156098420963,8897.18606181386,8377.501112162967,7232.619457185454,8199.533103420146
8029.226316135212,4019.357169044916,8902.774559719777,8403.289824950702,7249.908489463685,8216.654203309743
8011.615148923167,4012.1983961605283,8919.197574606133,8402.172475182595,7247.001894443348,8225.634386338297
8011.092859289824,4024.810510047996,8941.447898125569,8401.68657351876,7249.424787823644,8215.710153486561
8046.973297310098,4035.1264273171596,8927.533707803354,8423.753403476083,7285.938099363563,8223.327662064325
8042.999993470153,4042.344711584009,8914.470080490353,8404.249086795924,7278.296521621915,8200.023380994118
8045.415422311908,4033.258919297495,8927.595956719386,8421.540947051693,7234.281652006719,8215.562651442506
8038.80261351593,4020.951522275544,8928.558150165092,8400.312795887981,7273.02985958893,8210.248433480041
8044.850476239851,4027.4416444015505,8935.63336889867,8424.036210194743,7250.410197735093,8189.948034362569
8052.873796374145,4018.2374721248093,8925.931795566437,8403.56855473161,7256.275604199821,8228.073097182085
8031.484862534306,4026.2983899953306,8915.576259297337,8376.361851025322,7264.229764747936,8219.695615180832
8051.366860316131,4027.0150004632787,8913.703911344832,8376.605283248618,7259.773229415281,8232.752355773808
8050.3668498982015,4010.2078209033325,8921.510816240825,8401.078193589807,7250.021152728244,8208.890407898534
8024.687157307003,3996.1087742730397,8901.193919548066,8391.354926139304,7254.58797923282,8175.209377108297
8015.012624707793,4006.355177001997,8923.547274397715,8387.464875801763,7254.724887365889,8189.0799268848505
7987.7159641501285,4014.240273218805,8889.361587232841,8372.0307665842,7236.6914301206,8181.277888147221
8008.314711630526,4006.8783181320437,8894.098945644633,8338.769789423819,7261.741978569779,8195.473507968823
8011.743579100731,4022.8398475992662,8928.293763190166,8370.100423337364,7238.812090334286,8208.423693336159
8024.925243577076,4004.6180138671493,8921.786404204568,8390.412088529423,7233.5657885101855,8194.464655154712
8034.343371695401,4024.270616536923,8917.287168058558,8394.976143418542,7267.895427785505,8231.085467552464
8052.77093341472,4023.3911197348925,8911.064942499253,8388.296453004541,7273.023445836091,8211.360425495954
8050.239989538284,4003.9223219317687,8920.269132436268,8389.661446960472,7243.20916366891,8191.8521863649885
8040.725313033409,3987.8993217601715,8915.746659647488,8368.476174038828,7247.850770119698,8185.773834040581
8023.813714408587,3996.8900034484436,8894.002905068306,8332.579190325247,7271.444314231042,8182.29316012048
