manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
6605.329780481161,3101.875592643119,6890.580056145818,6614.337592345245,6031.775749583488,6308.4375468591925
6595.278470796535,3096.73869131093,6881.4925185930415,6597.093463450215,6023.647052058072,6299.219618785525
6574.337553885017,3093.2604820048746,6846.243649246653,6571.594752056506,6001.941841550975,6298.161619631001
6560.933014080029,3089.6813402867124,6869.272943106744,6569.164051182163,5983.012981139297,6272.758951312956
6509.960264494634,3081.861832033797,6843.021730103639,6570.928197929578,5969.854644853609,6280.326088331207
6521.285620821622,3092.5509350480693,6849.636499862415,6562.102182246365,5979.889667332039,6306.271262475446
6523.929188526463,3078.1798617563077,6830.164064812875,6565.711456917276,5995.475767004082,6284.649780846553
6503.139263648514,3088.587467267967,6836.634202463253,6544.961031415665,5992.01716210359,6317.161628907663
6509.6165838185525,3084.3336263518972,6854.580024495019,6559.61827084852,5965.293982223955,6283.475650478212
6529.859682501272,3090.694055106357,6845.716586776804,6561.273030665885,5988.731158278409,6300.216073740166
6527.15509605639,3079.7973384736933,6844.493235626942,6562.8215722874365,6005.20823681167,6306.221216165551
6543.589942398198,3093.630749902713,6853.841161747483,6573.180905570302,5998.45913143257,6313.255886700536
6523.6089983580105,3091.736294527076,6847.357009491068,6531.788230451774,5977.648188974405,6278.575314934565
6508.253401463283,3086.289573785822,6818.333282602296,6528.254690517604,5989.407777403727,6278.586781664041
6524.177372334897,3096.9375676763752,6831.859662265412,6533.3706726298005,5986.606943192015,6295.154987320057
6516.070944123338,3087.2189120839266,6824.257149845558,6538.94180808464,5975.071842693127,6286.927281437345
6523.729702729117,3100.1752512562543,6841.552545744079,6570.184923721752,5999.943158824704,6317.770151707563
6537.561301278239,3092.1473632405323,6860.202644597771,6574.095401372973,5984.811659670618,6296.8229624669675
6513.576750782737,3090.271207489313,6847.7174048390225,6560.516481520846,6003.804065383632,6303.447950792091
6514.07985451934,3097.003942273766,6860.731927228006,6560.179514311643,6012.224194463519,6314.8109380836495
6521.677737297593,3092.4136705113056,6852.629724047431,6553.068338221417,5995.849900057871,6301.133818337877
6536.137927405991,3091.1042753724746,6849.068025707073,6562.645791148505,5997.078339774298,6308.443297374755
6529.059857982489,3092.0812241980775,6851.607971512029,6567.837429016436,5988.080766418574,6301.329386732033
6536.314079803219,3086.5787897998694,6847.247624996382,6571.223535327375,5979.303285128121,6281.0758411784345
6528.445582119975,3094.63657317927,6844.866733694384,6550.077175111282,5967.438154014088,6283.700156069376
6533.559250120641,3091.225721783395,6846.629517713646,6561.897828008629,6000.694441895538,6279.55614187499
6533.112013700185,3089.0533919824684,6853.113901121613,6561.01254230672,5999.816971590925,6283.334984125987
6520.424763175675,3097.954522904084,6845.224378132993,6542.951716630361,5971.633251329731,6295.615584793356
6489.173981355127,3079.8276199018055,6817.664337834534,6526.43438439767,5975.135678831934,6277.079420308938
6488.291891227701,3087.0443808295217,6817.551202141285,6535.983305374338,5978.473074905327,6296.77170951269
6523.105109404235,3092.8998468077525,6832.975097974324,6548.562308937412,5996.770719846058,6286.205021885014
6543.1772584935225,3094.0019996783662,6840.818984784749,6559.963155242966,5996.1682022315645,6304.765646707475
6555.4923311594775,3101.318104418071,6861.251929587393,6586.620754397088,5996.402157995639,6288.103500750867
6536.435743528993,3094.706752703443,6841.65620399646,6561.6497247005755,5996.957008195257,6291.7023353151
6535.650295883154,3093.2233438336903,6856.635475725554,6579.535528726583,5976.773241576002,6297.5238562320255
6519.083321211674,3088.0074475635647,6830.645116818122,6551.666295287686,5989.201230503481,6294.761711927747
6522.788701044296,3085.989920983777,6847.052681793149,6554.52376498569,5983.762893353671,6295.812683962062
6503.546359534089,3088.597884225426,6847.666805330323,6565.366198363918,5974.737767201285,6298.710953558846
6510.997111914825,3092.4257683534065,6851.481539487377,6571.4105369787485,5989.043262436778,6313.069457954625
6523.0270669448155,3089.817874212222,6839.735610255662,6563.821867437184,5979.66947568749,6309.691753577687
6539.122556775477,3102.4467138620043,6866.787361718111,6591.760449258141,5996.537121122933,6329.999435844184
6547.911428610186,3092.5162371709343,6842.949734846158,6567.251004980123,5989.682721114767,6309.369754594779
6546.9000811922915,3096.5774858510435,6850.457507440468,6553.417628720373,5997.215763250002,6306.488445524466
6542.356660887351,3098.0654796029644,6853.967330325946,6581.950391538094,6012.008757368127,6306.1481430404265
6533.075940845236,3098.7422487554322,6894.694038068823,6587.8448293922265,6017.973771312095,6313.48551315745
6537.813866281841,3087.706083662059,6870.344903846443,6592.7458604427175,6014.138106429843,6301.353128384118
6510.833149622151,3100.0725826600765,6858.52019204944,6590.897686986045,6006.482186845675,6301.09220121253
6522.872820482878,3089.364596737435,6861.735853354161,6577.650483799659,6009.2076834940435,6293.013608353283
6514.356840144364,3103.815301861905,6864.89547458806,6585.802298220697,6026.08274312638,6311.436253028326
6528.283218910135,3094.3521449328005,6885.108627123682,6574.090441911823,6011.627557629547,6292.829693763162
6502.525450710806,3096.8671736949223,6859.1636832777995,6576.307771537621,6017.952738432951,6305.427764560958
6515.139330180382,3100.009733994697,6869.615071086513,6584.2761795833085,6016.1209991333035,6295.544149463635
6508.026850688493,3090.4481058386536,6858.537973343964,6567.1654181067215,6027.933682659779,6289.622643527712
6521.233806413856,3103.084017965664,6873.396759404138,6578.095389701315,6018.956481377427,6294.563209043706
6521.877248107238,3096.533495648761,6874.233820798956,6567.616386455672,6016.842549114341,6303.326508018128
6519.474673037207,3098.2392456812695,6873.689453090779,6543.162147879026,6008.970784334164,6286.513681888239
6506.173430746226,3088.64390231734,6845.60278385504,6541.007364057325,6002.25090514195,6285.224312717423
6527.192615142911,3102.9069871581073,6846.555927216085,6561.436328308648,6009.695972644418,6299.715733870125
6537.618263074748,3097.4229619182393,6867.635961956682,6577.494730368756,6000.502838998075,6294.828402206665
6562.318013296159,3104.0695965337245,6878.350108977773,6597.328853734063,6025.605662742078,6307.423205133735
6538.4119948565385,3099.0665687638943,6877.185324261617,6585.362157195436,6022.304986354451,6307.202278787165
6524.546298893804,3097.7062237458213,6855.329398699938,6601.663855814414,6016.2753668689165,6305.73075000756
6527.169490401955,3092.372664703885,6872.3562394804385,6569.143315052275,6007.529659631038,6295.406721060915
6516.119905277673,3092.473027994064,6856.222228294067,6584.61034590742,5984.511473904667,6297.366040856237
6506.405383289032,3092.0421267045385,6857.574675531513,6559.086843885737,5994.752966080782,6289.030626247235
6501.841454631036,3088.0756154126607,6813.61024635737,6544.804477619347,5990.574286608926,6295.926294178704
6507.561278868819,3087.3945640432653,6834.998559964598,6527.400683844449,5979.383725460242,6278.835506300596
6525.816888864838,3101.940673001729,6848.731066745277,6567.02331555483,5994.1849989855955,6305.45491432719
6539.92005065787,3102.7213086122674,6868.376704098876,6576.592027990468,6006.515900031238,6296.802159649483
6531.677605392605,3100.3379942187858,6883.545917229705,6607.8523252636005,6010.728124414939,6305.884981527463
6531.809868590689,3101.350752569859,6890.145164773803,6583.754684541464,5998.822362052137,6282.777059027522
6523.680294496772,3104.464884708337,6876.319773556652,6590.577494428447,6011.218869260758,6307.438446435098
6521.2796117501175,3090.0113819155904,6871.170016992389,6576.251811015948,5988.753208842439,6294.636296838668
6528.667413540483,3093.4760781074147,6870.240929358935,6585.638329323914,6000.625653747218,6313.194882856373
6534.374509790911,3090.2860164324766,6864.423360536511,6578.527879887495,5997.723825659396,6287.482472743521
6519.076180241763,3087.6360483442386,6863.1702611680485,6594.955979336153,6013.424546198426,6298.430988843691
6526.464590717648,3098.217145976864,6857.768742158513,6593.569800378352,6002.944377878641,6294.661761035188
6527.316231673979,3090.917844437412,6878.345893872287,6615.429126218595,6010.672311669182,6297.631323202893
6528.265310543352,3108.888917144691,6882.075026761403,6595.252465383502,5980.087366508004,6304.941739279397
6532.125070092065,3091.440279900534,6889.625914632251,6595.253989884804,6012.379384494887,6286.429431417027
6511.851051307618,3097.6706481909255,6871.407265851315,6597.311337236572,6015.749249165097,6294.690049516479
6526.279382831499,3091.3696200643603,6878.723168582024,6585.947107019303,6012.367827410572,6284.885928424054
6524.202659516191,3091.2866812373,6862.946048620266,6575.853643917183,6003.92867179206,6302.134906174986
6517.38834334747,3102.8176643192737,6865.892051182767,6591.360594235333,6010.534365331895,6303.945775125765
6528.736870444857,3087.5613975065808,6879.573211130921,6602.735021744261,5993.277312554478,6300.335294043732
