manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
7795.750820325714,3728.4296183078422,7619.483974686256,7503.320173591984,7524.329650303803,7326.858239912488
7786.704795012529,3721.879507824801,7629.588447635983,7532.262005015246,7494.106022223355,7302.8158059311
7762.526119491489,3698.412302292967,7613.310545003424,7490.569994404152,7455.3946977337255,7284.01440858355
7787.111503439906,3707.3450209416123,7586.19083778747,7523.052738504401,7446.977657726042,7285.998252646465
7803.757476006468,3696.092264893901,7587.08256967251,7515.085938396443,7487.015400804336,7251.186012447093
7825.646015714964,3702.185546466253,7589.129874479896,7500.6852221819,7491.100299916595,7254.349972125529
7814.160721473763,3713.8611058797173,7602.176385266305,7504.596928631893,7490.635696052966,7254.545717689694
7836.128211832553,3703.4879978809563,7582.461274037502,7498.673847776319,7478.562582488549,7255.745938275999
7836.654423634084,3714.3631880728462,7594.916599241937,7488.258186549168,7462.539834293575,7267.948350077101
7839.675761988984,3722.985049205022,7601.149987697646,7500.323418782036,7463.591727177266,7237.397606220874
7840.270786032796,3722.6878795832476,7603.160993575212,7503.991339354528,7491.013102999294,7256.387902355625
7840.886752528707,3724.3565163979283,7597.172559473518,7506.022058078153,7459.196966609322,7237.102934637683
7813.038098181368,3716.87999697547,7604.678561396033,7501.0017033268105,7455.640966973521,7253.10245566628
7796.106993762366,3707.431302550973,7587.342286784701,7533.880820206725,7431.5595600243,7264.839148503967
7765.936147373159,3695.4141937660506,7583.824179756681,7530.714934631268,7462.564048405748,7251.181204686523
7766.990581565016,3687.4754422509814,7604.734330033613,7530.263950765623,7460.543881597737,7258.767927394671
7799.830464485918,3696.7883827867263,7601.654012207912,7509.089016437431,7476.006830353919,7250.78724589761
7800.249330473711,3714.3140617445033,7588.042087577276,7527.568328245059,7476.542697699523,7266.407645387183
7791.2802256196865,3693.229896209785,7580.705204282335,7512.339138552644,7491.555967597585,7258.288686867831
7782.355239130343,3697.703193326587,7581.581635408301,7492.754982052981,7475.073807129456,7234.370632637427
7734.772972663475,3701.852778397775,7567.062484959815,7492.311610183866,7486.024217611347,7215.410777504247
7720.237653724605,3698.6177927594154,7570.70238492548,7504.769772502971,7486.820309611733,7228.972334919228
7776.89811709372,3714.329559632133,7578.959819239501,7522.635395857186,7490.524409902242,7249.976172854366
7774.522153858295,3720.507597174971,7595.848465686107,7523.977389570152,7480.078798110723,7253.754844721395
7785.088583579467,3711.6132784933798,7597.313131243742,7532.846359524082,7462.59054180591,7240.621645169952
7765.341164203151,3697.486582422415,7594.625952913575,7516.559572130369,7448.745736940655,7233.227925548945
7749.806686496682,3683.777679068779,7579.950195678965,7516.254056312154,7441.390548410057,7223.947235973671
7794.105403327527,3694.679561758827,7581.338251531246,7528.964132121287,7460.682630006658,7235.0174759608335
7798.994776870943,3695.4075853290815,7603.3099216928385,7510.83252295356,7473.715341733679,7243.053220774609
7817.354363178313,3712.0791569334765,7605.527545476606,7497.770044061106,7486.564679114852,7253.35631501968
7805.012459703302,3711.333902565494,7604.4610071377965,7513.577165109829,7476.144794820825,7251.115632203386
7791.678560471308,3717.6418111780595,7598.201748069427,7521.927975455336,7484.376791400639,7266.561744753689
7773.314248421381,3702.097994289063,7599.061391877044,7526.124171861681,7455.828920049739,7264.815341182926
7769.807445352893,3689.3792565648814,7583.583897926428,7523.780407848361,7469.698422786146,7252.347189776578
7762.047024083366,3692.1188242327003,7570.136629041057,7491.479836722046,7435.87645431364,7220.0464268561
7775.597757209343,3701.235974319599,7557.467715349432,7504.759605089946,7426.644360784505,7243.319965799507
7770.242673526293,3700.1038259853253,7562.613718091636,7527.859609318247,7419.513128763719,7227.771435680894
7800.634881493641,3704.6147986562564,7572.906991877851,7539.975066422393,7466.244271912104,7246.677942369263
7835.6321453092305,3708.34174374219,7600.974057505219,7542.539148478975,7491.459742459787,7245.193558911068
7845.818812691656,3716.6962323311677,7630.71243995854,7526.709150191317,7490.89808712768,7259.335642981277
7815.03280666627,3726.34775043124,7613.434757935764,7535.383366673205,7476.907139022531,7267.472374229687
7760.924227957559,3687.7884709763716,7590.660781033655,7506.1145120417805,7458.972803971158,7238.058438782896
7735.196515827211,3677.7705032603703,7604.118366114734,7499.30419667909,7457.45540051746,7232.023352942308
7737.17134877587,3681.5182622700895,7593.229813982068,7499.183959631855,7468.129559042443,7242.866262456427
7772.2162855704755,3696.673710386157,7598.039579934343,7507.60302237616,7452.9860635714585,7272.4119165082775
7798.174015920705,3699.8717693114686,7578.616071195468,7528.615049643752,7490.216051121682,7278.5047266895035
7847.197213493284,3717.6050236683345,7610.196200294822,7556.158800926928,7515.91948564992,7276.979592556826
7832.284680622668,3695.362594805141,7620.802050197855,7539.580960623678,7496.182834491721,7261.454845200409
