manual.nii.gz,goal.nii.gz,imaginal.nii.gz,visual.nii.gz,procedual.nii.gz,retrieval.nii.gz
6227.752086454837,3066.12349055665,6267.154424107943,6335.4941736282635,6218.55476494238,6034.502306950215
6218.307024099118,3066.092364037509,6266.794284889557,6359.096441624018,6193.036187293154,6020.753340035207
6201.143780189271,3068.0127719678435,6260.092337692221,6351.245296700399,6191.065858351496,6013.9487857395525
6203.508645199744,3076.9734792677455,6261.912098447446,6311.110771820111,6228.274907504664,6022.704153428947
6191.034462885817,3066.556267221577,6243.694105935706,6333.007021238909,6203.399651633492,6014.752654148687
6192.665168151125,3057.1215682285906,6260.886474085136,6304.896626643502,6187.9396064050725,5988.740987412568
6187.926975454531,3080.123773705188,6248.862588750021,6314.552319947601,6194.622376356472,6028.155167840371
6179.511893902534,3057.080249458959,6239.108628187006,6305.908482485802,6151.5006083164535,5991.780160585165
6199.629459688924,3073.093844412364,6234.584085683822,6312.097580174659,6176.325446240455,6012.934537969264
6184.826917680616,3070.460536172725,6252.896996098992,6324.95223595353,6195.575621534543,6013.268334806349
6192.174514256671,3070.3471273081796,6245.0298662011,6322.623551858532,6185.891922030641,6017.212315107666
6201.038271938136,3077.56069456868,6238.784865457603,6315.360538255974,6186.71062068689,6009.066554080307
6183.765310678021,3068.668135295651,6235.016140608965,6292.170896208131,6185.4471146479345,6008.872626440873
6194.614739954261,3060.185974312765,6241.883359954165,6316.984232399552,6207.471825537197,6019.404914832793
6214.998732912668,3081.007459126441,6270.963914155497,6364.4575233728565,6203.727601801506,6021.106312431798
6194.648574328659,3074.6193450139476,6260.017714726124,6339.697068098203,6217.8050409323205,6047.199974489325
6197.297726357852,3065.5536015929442,6268.763009436314,6346.12312315016,6196.9342789972625,6027.57593867659
6190.235711041086,3073.869332097827,6248.489515878515,6313.565469353012,6180.2063816375685,6019.199457537876
6182.72602394659,3069.6939189096474,6252.559135898609,6326.874895506441,6182.045054188317,6022.6453935365535
6202.592357194247,3068.188865477504,6234.813976154256,6330.55176700245,6190.846715382645,6008.456043258514
6204.059818909504,3079.6968683764408,6242.131502578487,6331.539076016141,6217.640362539563,6017.8111631392
6203.778468886857,3074.489553605678,6243.803004291375,6312.69506532456,6217.487042417198,6014.028963154959
6203.722203359114,3072.421724001522,6244.130119995419,6315.337001914383,6197.0431417895925,5998.254447863498
6201.863942384861,3084.935183927118,6228.084121101314,6333.620362738197,6193.436834522349,5998.427414482687
6194.6416555075575,3077.620865287805,6250.755285649922,6316.821924732009,6215.495377876835,5973.9261581757955
6209.256470777811,3081.7863222774877,6236.126182411052,6339.471009361446,6185.979989861228,6006.1289111634205
6194.204880919734,3076.580236681239,6249.850030593995,6315.613969562393,6222.478244782436,6008.372602452777
6208.997581344295,3080.2725172359806,6244.282687343186,6311.6859396964355,6193.1613794411805,5998.484835773587
6183.759918226731,3070.6380529262938,6232.343200239933,6299.056755677393,6210.636400364174,6001.280405221374
6190.119853451211,3073.0283175763307,6221.436779747094,6313.824881526235,6208.584699549045,5991.050419294695
6190.903974183622,3082.2921529799123,6234.023561613855,6323.80521405006,6195.519710111448,5980.465685823885
6168.780719991695,3073.2547291885844,6213.063747835359,6290.466564451914,6214.0201908007575,6006.226129247469
6186.2699171161885,3074.46758104301,6225.941923345054,6314.828437119548,6171.342009949558,5999.597718453995
6189.160692557732,3069.7896602137293,6242.4622217001415,6319.523832843736,6202.081619347176,5985.413463173692
6197.800138424321,3073.2975994385542,6237.28573578078,6319.10456805228,6212.936777365462,6015.001035294949
6190.359392423272,3066.509456241323,6239.400345646085,6335.683344784424,6181.88498870878,5992.853166879997
6164.7897166088105,3073.6885407894956,6226.950811870509,6326.056411274499,6204.109660989868,6010.97020898223
6180.900486561493,3056.8909327350893,6199.5386364897495,6295.669382850111,6154.162598970853,5958.302570856598
6177.992342080788,3066.040616562485,6204.735580750295,6295.885734889948,6202.17483110569,5963.158051558525
6202.208871072703,3067.1570770323247,6229.2620519422235,6323.126823469268,6188.224825962013,6002.560341744909
6196.390773872543,3063.99672671819,6232.000012330342,6306.344998450515,6202.704992435305,6004.024784910552
6197.855478071735,3078.0913619223866,6243.723120792057,6330.983914645865,6172.7609057447535,6017.274669531768
6178.558104717103,3066.6317231881644,6247.1796837529455,6329.827613793314,6213.007171062407,6026.155569910226
6190.135427607498,3071.157068150708,6247.842877389026,6321.210219317268,6159.370373184397,6007.5148063957795
6203.378675063452,3066.158752927564,6246.126404108992,6322.703209856576,6205.094078404512,5998.04314115889
6188.426797347932,3077.899938593978,6273.71639036259,6333.569384693123,6219.148023377206,5996.930647291642
6202.172576254703,3075.569720691447,6269.339447474713,6348.489141946579,6186.163785231028,6009.167142449223
6181.855931583187,3076.7290275393884,6258.81966060823,6338.7630371401165,6199.801332743347,6026.842433568782
6167.529601398273,3068.2771728084103,6241.288022959207,6309.576692789675,6173.736361356815,5982.603328945622
6201.858836842549,3086.9963724231116,6232.994137377136,6320.362396300932,6183.100382372948,5998.6192261764545
6173.910578121351,3074.199881026785,6246.076292304072,6341.42648254845,6195.941407565687,5981.401449822223
6207.682223648202,3076.5959447653777,6238.953339023323,6328.561481374887,6176.3129532557405,6005.934908643322
6189.146736522127,3076.535549090287,6257.87458148476,6315.08788365197,6200.816487319854,5997.514995879148
6192.712360292766,3071.8414329387374,6254.2383627527015,6324.785029237306,6202.003314103157,6010.77116512574
6186.73675636601,3052.923015045658,6260.255098157386,6321.816093752646,6165.053210737782,5984.040047170323
6185.153413560141,3078.060706082037,6263.1549821998115,6326.266598764638,6184.726134813724,6006.060788767796
6175.215393916449,3065.634495343678,6244.455172242368,6336.368202573035,6159.13480113558,5980.33560195668
6185.386871558877,3069.7497297123127,6244.480439301132,6302.991667406959,6191.934218621184,5984.386167432361
6178.336637251014,3072.6561163607244,6239.273713840795,6310.809258662761,6176.642930062961,6005.760955129646
6187.720636171761,3070.145383752487,6256.078946011063,6318.381246182674,6189.367979984286,5989.302364468653
6187.195154386229,3081.361232294244,6255.8026131066335,6323.656348713564,6197.151558268353,6013.9722687028325
6180.412896715937,3071.9257865805575,6254.2567035053235,6344.244786933547,6190.464962909908,6006.306804036312
6183.235122141541,3080.4508895323975,6255.936806012779,6340.039658179594,6186.997661030927,5987.434089092248
6174.279033366681,3064.90658298338,6226.388674916405,6329.747905660859,6179.109799105133,5991.226689640175
6159.272162735273,3060.1259440534986,6229.64719323553,6313.673399642713,6196.229901363474,5985.588057917804
6198.0212596253195,3056.905326277382,6226.226961805335,6334.75960931479,6175.407753323435,5973.766369974507
6183.939618747153,3069.6438787586176,6247.693201172945,6336.890993902566,6219.882453993579,5999.597401843637
6199.190460554915,3066.6780314567786,6252.675431444109,6333.164020038519,6176.840319108145,5992.36078245637
6178.6246026060635,3080.0081157275586,6264.718832834993,6334.384340129538,6191.52157046026,6007.565496792854
6181.6719478781415,3064.2002640714168,6253.158213375873,6334.780235208005,6182.462878590555,5989.047249114987
6178.665996941572,3069.098417668098,6254.249183442135,6319.005271559575,6201.780798409898,5973.07200309268
6190.819459435194,3071.985319773301,6236.922892928031,6313.877536750064,6180.641993447771,6010.161998799266
6187.751041059136,3057.7548371119415,6254.6499236582085,6319.523441304869,6202.775667287824,5995.049150073667
6201.499363070249,3078.0630242575835,6250.4492457512015,6341.8165185088765,6200.62548146749,6020.804445440704
6179.02440263425,3058.573183142068,6228.964250384003,6326.786872122651,6168.291079384036,5986.749105529093
6169.077127423538,3071.718957060787,6238.906051631675,6314.937165591924,6201.110944816155,5980.48371201366
6155.214711884187,3063.107364461728,6228.82516079092,6336.045714105621,6183.474855700259,5984.063852973014
6174.487390146566,3060.2323907746763,6238.701390842819,6330.412832179513,6184.853563040837,5978.169002428944
6193.23509242925,3076.6346766224315,6246.128091357234,6322.150390003945,6218.557485552591,6005.667370424937
6197.317980601806,3062.0400994918637,6250.34235129221,6334.737870606956,6205.240310142096,5995.397927744353
6196.641902146017,3079.205837173729,6278.7767391713,6342.07802222621,6208.925026693852,6015.983858406324
