left_imaginal.nii.gz,right_imaginal.nii.gz,left_retrieval.nii.gz,left_manual.nii.gz,right_visual.nii.gz,left_visual.nii.gz,right_retrieval.nii.gz,right_manual.nii.gz
7818.87916351329,7678.57465339551,7520.203278397118,7567.886459135476,8062.389121950275,7921.5101354920735,7744.278841433602,7791.6926805053645
7802.0674357210855,7661.539021722397,7491.80048986347,7559.703278281646,8045.5612819875805,7870.561033157462,7730.906449227747,7780.466022578631
7744.405102102458,7605.014245057496,7470.808160144618,7525.976109539743,8062.403359362137,7873.227907850195,7701.8691180818305,7751.130987684555
7729.279491227832,7612.477742002914,7463.048075162642,7518.698769573378,8058.306642848506,7871.739642745038,7721.816124315501,7747.413022098516
7723.121926365459,7610.7709284997945,7491.8834946625775,7524.990316067311,8054.897358571075,7874.75668213448,7714.96077528454,7762.868082070029
7748.168886524825,7614.59924786574,7494.305527709396,7512.929961658237,8073.190645369372,7883.240633113024,7705.12207339337,7741.175993347842
7754.525528501058,7622.456870362147,7486.286141850918,7493.108675073127,8059.361041929504,7878.857254836803,7699.963447327191,7755.115296638987
7760.082711859666,7619.382107416295,7490.232244837619,7502.848954538365,8066.546561504664,7882.56684761097,7729.026999409335,7787.787206427556
7755.693895391307,7632.822077963481,7502.171351716355,7536.241159646321,8084.760362028079,7893.745697585603,7765.455097510805,7789.126185881689
7772.024733634723,7647.631057320102,7532.863079343086,7537.739425764158,8086.763185616915,7901.633732905797,7757.16563862823,7790.911485441204
7797.135030391528,7668.603392844886,7524.409767307973,7544.663915806358,8118.00447494941,7933.480334593305,7794.9556200849165,7779.923934613844
7811.677376110886,7682.488850578481,7534.901470237384,7588.202097540126,8085.487467282046,7925.808121188356,7805.311688389498,7827.9118368998315
7801.199501339789,7661.391727601871,7541.397134529453,7602.165450854394,8142.496174768797,7950.620993637534,7807.79938647248,7821.254633473029
7819.2447904106275,7679.358595852669,7533.920492547513,7591.039821690396,8115.988232092413,7949.897111155773,7798.917704905626,7796.325926749218
7832.738029259697,7697.104960826985,7523.115036399317,7581.783844116487,8128.835119361049,7962.611158355276,7787.8430720832375,7825.567035443393
7822.777482148347,7678.713825912751,7544.1331310042015,7587.3332154176815,8127.990315803916,7980.91880751661,7812.154643373715,7808.8308878594235
7829.241135433076,7682.6431683752935,7583.03955849035,7590.493385860551,8126.36328323703,7966.959486425864,7810.461370978767,7812.419505569745
7833.251082858753,7690.016819296943,7548.386168028396,7589.718464915258,8112.705712237052,7924.769859333438,7792.661997225273,7827.378796443701
7819.261304942604,7675.59187806025,7542.017459190236,7596.260487637828,8138.551675197156,7922.526922289796,7768.493328204149,7812.244718484991
7840.663096588913,7686.641964915538,7531.717303225038,7578.809449920813,8119.146915307694,7939.969361151894,7785.040886822645,7800.1191426820005
7826.096362243546,7679.519997095658,7531.450865787832,7582.686487246499,8091.280754233333,7904.528075709278,7784.856541353172,7781.635286805577
7784.671983921315,7650.738547840875,7498.2061596455205,7550.096602534207,8061.237596274213,7891.42884162259,7740.4781727335685,7788.344288184758
7772.830092102444,7653.120415944627,7494.521846969779,7562.51404033752,8098.5962213417,7916.865557326243,7719.796294968394,7782.830142588702
7784.741430327126,7654.752443482617,7479.972681882701,7597.84483959477,8109.475930098476,7908.238706359954,7707.707613307064,7794.162705307344
7779.503065703032,7652.459955060143,7478.275465128664,7575.951227913984,8110.376810270648,7904.247539356338,7728.25522104269,7767.124005017993
7772.147432805137,7641.578254761934,7505.549907562505,7564.7532885619175,8084.40631006295,7896.258568033695,7755.608918299321,7785.247436641498
7766.018465077714,7657.78171102031,7504.840703531006,7538.755474764086,8072.887515582246,7919.320085237653,7756.6056919091225,7775.664964395068
