left_manual,right_retrieval,right_imaginal,left_visual,left_imaginal,right_manual,left_retrieval,right_visual
7158.262520516007,6800.676192203858,-7347.753048059201,7004.412161179401,7128.285831564446,7343.073828187322,6755.855582295522,7146.829307479205
7134.997312500308,6799.017257902138,-7354.110128612183,7007.224207699953,7137.43006596747,7343.514711354427,6763.213617462274,7122.681247545754
7146.518542591326,6802.904191300621,-7358.910497508894,7006.037262264578,7135.721451880901,7343.086250629314,6762.03771971897,7125.348606311068
7120.630637235116,6772.507428643787,-7350.925515150584,6974.010856236982,7110.9687107712025,7343.931535888981,6765.671481466057,7124.921740708827
7132.566915642974,6798.928640943655,-7350.77217766223,6985.133819438578,7119.874723367042,7358.492802795686,6760.097766322525,7125.067749114655
7139.782954358874,6790.8613935612475,-7368.391037320338,6990.879571734688,7143.096912540873,7365.324697851806,6775.283450071305,7134.351505674227
7147.500645385039,6786.122889810351,-7354.953946912161,7016.7372946302285,7132.360821601313,7350.941638095296,6773.487310932968,7134.711829780705
7148.120168515036,6802.434769949011,-7354.7385525982845,7010.547670444268,7149.504042089195,7354.291743432635,6772.960991448272,7148.659831112949
7132.7152657103525,6817.612522541531,-7358.460203132531,7006.755900545516,7150.468750119688,7355.631378664406,6797.339015314558,7131.488498843656
7152.649272294036,6826.54075406449,-7375.540270274591,7016.444321879141,7149.353050446283,7360.15121146805,6800.640787577589,7158.841532180711
7155.000563864109,6806.0813897486305,-7372.090410451018,7042.031357496603,7147.5276353528125,7369.747605726769,6811.919572908354,7160.8027690538
7145.215320085652,6806.616115243395,-7356.417382056602,7008.8211486753935,7143.793986055766,7354.50971446055,6815.559038474994,7161.90897386814
7135.1192933669145,6796.512203273405,-7350.966847382566,7007.356399081866,7143.420296547221,7344.308431899416,6792.939400420504,7135.473573407289
7141.050116779504,6807.472338066765,-7350.0841254449615,7005.3436251176545,7136.923598442202,7364.425783213969,6796.791908357714,7158.984561049549
7154.474523088325,6791.131833677921,-7362.802229657845,6992.223232040461,7137.397507733591,7358.878089364913,6763.869859550647,7176.72756898721
7161.798448651212,6802.383765943087,-7357.688771766681,7009.292881666397,7149.671311067317,7350.481048262863,6770.3356357515195,7205.093034058841
7132.931704631266,6802.077294971304,-7368.869020610653,7008.401269987419,7142.033694945555,7351.912620666629,6756.574340000541,7213.325285995801
7129.855113434156,6817.958042907046,-7371.198243292699,7004.506989163645,7136.796242648165,7349.0808690603135,6756.569552112097,7201.865950715274
7157.261046765495,6812.631655832205,-7379.778073511091,7034.679292209131,7146.955330330559,7375.944208866058,6781.439858786243,7200.137965163083
7140.511699551652,6827.941956075367,-7392.761499251901,7042.051297503141,7153.7137491587255,7363.808144510492,6789.958295900236,7203.776752640252
7126.3798993730725,6813.845591923304,-7388.390129243504,7038.148088329097,7157.571012729129,7361.811313986133,6804.376300612446,7172.0342265433
7121.401715797986,6797.831280193443,-7372.302954573498,7008.740905965911,7149.4499049717715,7366.082603289578,6780.1348007933175,7113.886365250714
7131.9257666229605,6791.19862747972,-7377.998527617784,7006.058391930093,7153.649181877775,7364.988365077317,6813.502721429021,7146.522922034746
7125.487179676569,6775.64011739567,-7373.930784744101,7006.606947747113,7169.703466635945,7356.813952537437,6820.551632414147,7140.007093235001
7132.0723550974535,6789.048162480368,-7368.75122194696,7008.123217867988,7150.206494586805,7363.471908508419,6786.07259081877,7142.444357728681
7142.060286975577,6775.461811468956,-7370.259961216341,7011.6792371809615,7155.568414204953,7374.345670691447,6771.063935910273,7173.2542269992455
7123.096896863621,6781.914046810564,-7356.178907139033,7000.1021886079025,7144.817765753495,7366.585580928228,6761.427747504587,7180.821223136729
7122.589449386182,6784.632699221451,-7379.147562575436,7035.381355611481,7158.577796027674,7397.3613499241455,6790.536910962605,7128.742662753515
7159.793745004668,6821.360387628535,-7365.608860011191,7008.310675626744,7161.007591170808,7393.333123008908,6787.651748827196,7133.699237223202
7164.080426228043,6817.125505546695,-7374.27056902697,7018.335056077981,7163.864009267567,7390.316202244065,6789.254207259388,7180.28266692707
7140.638801424932,6797.017064705578,-7374.192056411586,7004.744337031856,7148.219043043146,7355.908264762978,6763.39392764309,7158.434166808104
7146.14374068431,6798.98300872022,-7375.673501110138,7018.656698331987,7140.04942847661,7360.317291561395,6765.929168475513,7172.818117793112
7134.898595820528,6806.991354861714,-7365.476461368495,6988.73964055821,7148.103122784609,7346.648656622295,6771.740338662146,7159.368264642382
7159.952344194674,6811.986904578535,-7369.923428561209,7016.129157914298,7145.971173593947,7363.731461161023,6784.137044971973,7150.81943077959
7174.046588062727,6804.547953937881,-7370.403679701552,7015.448160534928,7141.733471632531,7337.1296358837735,6774.570838745983,7158.341650187195
7171.141234437842,6806.281788276054,-7363.100043234538,7006.47792469776,7143.574428148846,7347.451153564728,6781.915469181856,7187.426648741745
7150.540544857608,6807.17500946114,-7376.60283410846,7020.573705901038,7153.3571313044795,7330.483146549618,6778.487472149913,7158.515267695518
7170.481862787603,6809.808600183977,-7392.525397112036,6992.290148291544,7143.14576198347,7346.335327285591,6761.306785843004,7165.997755130404
7151.664248128414,6823.195285737261,-7380.040577112332,7002.764858597411,7149.519183823539,7353.952427183795,6754.297246306949,7207.7734163430405
7177.572652511898,6807.051060339952,-7373.4769659955455,6995.817494811377,7147.976646241101,7362.347834679098,6743.885193620727,7176.345094834943
7149.667275278211,6778.258301891885,-7359.097014195013,7013.96205372072,7140.447143374631,7344.663574571233,6747.911959838068,7144.183235400453
7147.777655433744,6756.163779853788,-7335.767456354273,6983.129845356514,7120.085053952318,7353.537979471528,6724.773139614335,7115.934810103893
