left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
6787.456548425257,6617.228151313448,6305.817359223667,-6455.1777481781455,6488.047934679922,6323.662680193957,6629.334283672639,6554.476251744657
6782.043917256284,6609.543863798205,6299.860978857301,-6455.187400283379,6484.454202154278,6301.131941835992,6633.8147777448985,6553.912366319796
6776.2757939713565,6598.419359541447,6280.629761294698,-6445.434341598613,6497.54680515093,6319.123892090465,6630.532050575603,6547.630764545816
6799.294521284916,6629.241320608705,6278.51154588972,-6461.057347137006,6519.393726840731,6324.80087517816,6623.186128016057,6552.921768230803
6817.551192452876,6647.682103725944,6303.762687768827,-6479.331579832113,6519.802797815903,6347.893526352124,6663.391334950495,6558.512323984827
6805.773453186521,6641.422325412403,6301.893681950557,-6480.753064134295,6516.882250036133,6325.2943962996715,6648.102828452277,6560.91753246467
6792.411097008533,6627.215171836962,6305.025600846497,-6500.512001401111,6511.703242144176,6328.901601671616,6650.8789359948,6556.348382978811
6799.176989416602,6629.381460572764,6303.943606705807,-6480.044500403775,6486.990365312018,6316.549993803477,6637.294166174047,6557.509496760975
6792.335381531865,6639.237910685293,6321.708568022737,-6477.303332430165,6494.453525295659,6330.266225664277,6638.699092624879,6556.515178029401
6790.912204191554,6625.9440444451975,6327.913572915264,-6469.657045587269,6511.201533473922,6321.880803603817,6667.254092556674,6540.300609948633
6778.105307257509,6619.307456405356,6334.717632827023,-6486.36871768056,6507.414537405113,6322.268725655119,6670.787724848467,6558.3210068471435
6763.512437593331,6616.718685466565,6288.705245544255,-6454.569158396287,6489.14830315707,6320.357869100985,6672.071449911988,6527.010882761675
6763.655817312469,6597.300223506343,6296.687873943489,-6437.286769622377,6477.096938146316,6292.07868080564,6660.3238330361655,6534.533256814221
6771.211470679523,6608.636351508674,6286.396279606788,-6443.622448578514,6500.047826218002,6327.3462331019555,6646.8707724937485,6526.057164294038
6774.389021911592,6609.496566030815,6299.966564641338,-6464.817519915188,6497.006453399559,6316.55755789003,6665.617848527056,6543.5556768931065
6767.795016813172,6612.792259657976,6295.904269250552,-6490.623165226235,6483.162293201573,6317.848469787193,6659.439198414158,6543.808069822447
6756.852470117668,6609.259299630544,6281.8671499584,-6443.066035239616,6482.167508973319,6316.287845800842,6654.829505454737,6522.504572027073
6760.345390669638,6604.064244120402,6300.398510821213,-6433.177572410593,6455.9761250708925,6286.04368749273,6654.061782636913,6537.97750640187
6773.570105499404,6600.255941420996,6315.336460613949,-6415.692282781272,6464.9731194016085,6285.327562289296,6635.1193327134015,6536.286909244818
6759.602111256525,6593.939572754376,6323.618829026257,-6429.280479217429,6478.25163708524,6289.77041050786,6637.413817775177,6547.198195771096
6777.168727767945,6603.344451474276,6316.6756988648485,-6458.082119116748,6486.967241454074,6321.742099483872,6651.274358773134,6531.169647421731
6788.366510300727,6621.0187450859285,6326.242822998302,-6464.204506243379,6477.533238721168,6318.928921695606,6690.3510461886735,6524.801199848729
6787.7004905343465,6613.473642177758,6340.723451124502,-6465.451100829653,6476.499386765047,6312.512672258952,6696.030159428206,6530.948478619437
