left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
-9317.594453275029,-9368.529824745456,-8869.57777989193,8913.254926104495,-8391.519745536818,-8866.049849846133,-8924.630841589373,-8892.72708720259
-9325.001588269415,-9358.325632580463,-8825.355167175865,8917.976133232887,-8358.059968160442,-8864.265967053765,-8897.626851264211,-8890.716673164647
-9298.966557615388,-9346.606888145143,-8815.467730465762,8941.298368098545,-8369.404017778841,-8856.762802608457,-8903.626012117205,-8888.080063008578
-9281.666519840113,-9343.701894308591,-8879.53152561781,8978.80147403254,-8416.272697142831,-8850.309677067911,-8944.682232606749,-8892.298403176876
-9338.543343775369,-9367.56208460907,-8879.569038753916,9023.182524865455,-8395.81236842314,-8845.393853468662,-8910.493161560069,-8896.853245558379
-9307.929481035273,-9362.091235150901,-8905.024653245044,8999.682334126348,-8378.83580828765,-8879.757038562822,-8946.949902333212,-8882.625239618494
-9345.617048625694,-9380.740135728262,-8881.691673374962,9044.941467713756,-8386.79984497643,-8831.948193507551,-8980.552812932525,-8904.432409109664
-9303.096831681096,-9389.521112776923,-8833.981489512276,9044.637502664771,-8374.836092195383,-8823.083537817036,-8925.93954556699,-8890.266177978683
-9279.370000328327,-9365.524630244247,-8855.938434310921,9004.78587154546,-8391.41587484945,-8836.437124875833,-8939.097427028939,-8883.139304040367
-9303.675347842724,-9374.672171698792,-8893.046291262424,9005.598910969618,-8395.88795452215,-8863.633294797117,-8980.222469041684,-8895.370691204966
-9336.510982460224,-9402.966051621344,-8886.067974488147,8997.661774910652,-8411.778605145144,-8862.78292004805,-8966.522582363588,-8910.238833760886
-9316.813334995135,-9410.352836431404,-8874.215901676005,8981.424237081197,-8419.809897772402,-8879.911030740726,-8932.889298739503,-8927.397149682605
-9316.967498379603,-9369.892194158941,-8868.680263499014,8957.978149708837,-8397.661642548746,-8855.379049319165,-8928.412879285901,-8894.16784750945
-9292.13626706097,-9353.11052252661,-8850.656026323455,8949.538328203336,-8361.493385266356,-8802.494575275145,-8909.34534650703,-8895.671453230516
-9288.178752491553,-9347.218019030548,-8835.04544477532,8952.031083178284,-8340.150926926059,-8856.377248624714,-8921.59913267815,-8908.148512119871
-9306.774642397122,-9375.926996644988,-8892.667228798222,8992.443839347421,-8389.977710829475,-8856.89503648568,-8960.72643619874,-8919.014104189697
-9318.10686936771,-9376.691146293471,-8904.13106563226,9004.343624481691,-8446.799142515902,-8903.177449642451,-9014.072348158728,-8920.898857211418
-9352.964372960394,-9389.78696908518,-8904.901092536387,9051.940047507213,-8411.763152325988,-8876.898594232776,-9009.370149249586,-8930.422039578949
-9347.401679570557,-9398.850799593738,-8883.462319260876,9066.904686573751,-8399.330337344767,-8836.277672245358,-8962.505787171067,-8939.250540812565
