left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
-6561.884154877009,-6960.519968186213,6500.206653353131,-6442.770185908851,6843.831696533874,-6368.376407653161,-6246.430235487807,-6469.860688093115
-6548.822231818274,-6938.231739185947,6479.192154149131,-6425.1767585400285,6794.917357345163,-6357.603250004677,-6195.31969262181,-6456.016878219187
-6554.730965659404,-6929.290766980311,6459.881240725665,-6402.235512752563,6835.387795144793,-6339.9118303317055,-6187.463105984726,-6421.3258951859925
-6567.020156832106,-6944.926320911728,6463.812439089543,-6406.533343247023,6808.526819141141,-6336.448951233604,-6193.0071257252375,-6436.492509994305
-6535.656050596083,-6924.70851892073,6466.743080445234,-6380.846514182393,6814.84887651441,-6304.072050168011,-6187.136130817023,-6411.958945703449
-6535.609030942676,-6926.2495750155595,6452.1717143533515,-6394.499733687012,6791.058283371885,-6320.692614039845,-6201.475170431049,-6416.0556948934345
-6511.922307915179,-6909.585093461963,6428.113214544631,-6391.896593482618,6787.730257960608,-6302.035028539653,-6152.067852474103,-6406.612303811859
-6511.322617963742,-6918.625287366257,6432.120770955736,-6394.048463187305,6785.72508620461,-6292.460884751804,-6176.7820409376745,-6409.934707453465
-6492.783529102176,-6906.604666717389,6430.352317258829,-6363.10652803454,6764.704218672778,-6287.508806418938,-6183.326012102951,-6396.414756951698
-6477.95852518992,-6888.030510608943,6422.719204837821,-6327.127184523603,6756.670216149112,-6263.845142606837,-6188.022395556793,-6388.375595521848
-6496.547816487217,-6899.562294727328,6439.104116366886,-6330.110958658206,6761.729224971363,-6280.292790258915,-6174.475497610067,-6388.6844782101825
-6496.099645918486,-6896.177604062018,6421.8713673898465,-6363.310010833607,6772.682569722008,-6294.160033263437,-6167.181117008387,-6401.9962001689755
-6512.04533665795,-6913.653869284559,6469.5747466717,-6376.436647411829,6762.343092915613,-6305.59891612612,-6207.778438560957,-6412.305405583814
-6501.798616620441,-6901.740727416898,6428.922400513824,-6364.614982905784,6783.78017435136,-6294.747531389925,-6183.393232695349,-6396.410933157148
-6521.112035385733,-6920.50626692386,6450.563837795479,-6371.183497596047,6768.427659731517,-6294.773666226656,-6203.608042077904,-6420.704080211581
-6522.911744464088,-6910.299176159239,6476.83991600433,-6395.938684541401,6808.171027984894,-6323.386768837516,-6196.507696170626,-6409.36180984909
-6543.546052002778,-6932.453398164413,6486.772184311888,-6396.582697958573,6799.322086515998,-6323.020627253877,-6208.622535804851,-6425.867972381989
-6542.878735162915,-6921.92700042022,6483.853865236354,-6395.755203588594,6825.356904467407,-6350.957473921056,-6200.572847761339,-6427.174702284956
-6525.944465714483,-6917.576376024884,6468.9009981174595,-6387.100764464762,6800.892785997977,-6333.3268437069355,-6217.4220199942465,-6420.288263499179
-6530.334587406128,-6939.286669246927,6467.831254088154,-6419.558896326405,6799.332603423115,-6334.077545067508,-6199.5814976317415,-6436.672513437737
-6516.633410111342,-6927.1316931898555,6452.857372050112,-6402.779676435577,6801.9607807024895,-6326.234971766721,-6198.764861243838,-6433.104265041722
-6520.794172237668,-6934.5539305982875,6469.975640309843,-6403.107585642844,6793.317463825108,-6302.33213235527,-6215.510145309072,-6426.176339561489
-6516.3523988060815,-6908.348493607879,6453.074529988298,-6380.23112734278,6804.919254738033,-6314.657177093565,-6178.419601634751,-6414.208209256491
-6522.079059676315,-6928.7669990629865,6455.827949251959,-6379.861767311255,6799.284311023888,-6293.836545540524,-6187.007233397229,-6428.013416021696
-6527.900702263993,-6910.165848524054,6455.982357946881,-6381.5164531730525,6789.2912385029285,-6299.320101341503,-6185.677089178077,-6417.315266663167
-6512.622719627162,-6904.972709719237,6440.598463187781,-6379.380797548877,6787.417599960944,-6299.875449590828,-6189.115255434444,-6406.08750395722
-6510.52648752441,-6913.961090727741,6451.0298591413575,-6390.128726929769,6779.635445085616,-6309.14802988456,-6186.131093503637,-6414.560834111176
-6514.6207697182945,-6924.402971733017,6431.914105731433,-6384.848472155621,6797.255585028863,-6314.773113585248,-6158.3689275140205,-6404.288620297498
-6510.467723398545,-6928.454223827823,6482.052083742357,-6384.14812265571,6825.451282262079,-6318.36503197071,-6203.225844473083,-6407.696882326828
-6529.108434670092,-6930.800450875372,6460.608662186623,-6384.851398134109,6814.614767369226,-6337.183872435072,-6193.004706253872,-6419.233850605944
-6535.410066229276,-6940.669979779927,6481.716017116727,-6394.221780369041,6801.004214095684,-6316.202565660279,-6210.734049170827,-6434.246441145618
-6548.555636792706,-6930.044050954293,6482.678187879075,-6389.246314410037,6814.563111547672,-6350.4922683124105,-6198.02426914866,-6419.954905247182
-6548.940446500748,-6939.194179075208,6470.96851858475,-6394.899870329884,6811.083211760146,-6339.757971428186,-6198.923318267163,-6451.072426452913
-6541.192082475648,-6931.43107518945,6470.953992293099,-6390.055174965055,6796.031157308482,-6324.010367073153,-6183.968154112897,-6415.522228411241
-6533.194545608183,-6933.524579240604,6449.813853186709,-6408.9614728911,6801.211457684658,-6328.40929731605,-6180.4201613057685,-6428.4560363164555
-6535.4362979616635,-6938.305582182841,6451.5668307484175,-6394.82722455481,6781.414247441157,-6340.069309152636,-6192.399966352142,-6421.422441769894
-6510.736340601528,-6910.115772233833,6445.832567388895,-6366.481342926408,6756.712408230415,-6289.815527394524,-6178.253623348564,-6418.185430044858
-6523.6977505553405,-6920.536186227342,6452.873215571501,-6352.91516338343,6744.424088291607,-6303.852231517686,-6175.041215346659,-6420.51437051666
-6515.104280520577,-6898.011209560895,6427.138800773097,-6359.79479762886,6761.858118005136,-6295.175789150919,-6175.323526218213,-6404.3453987316825
-6523.915793055678,-6918.719771086366,6462.384248100456,-6380.563791679702,6769.978320367421,-6292.993419437191,-6190.362299215339,-6416.715013191904
-6516.643543091133,-6920.88389417486,6442.450488299554,-6384.75408488501,6789.465423191667,-6358.243320325722,-6170.983721392594,-6412.887718792533
-6529.328609325474,-6930.841470347112,6463.221639247967,-6402.608171569992,6789.5532297964755,-6318.1000800499005,-6206.0490344725495,-6434.8251324022185
-6528.5557968675175,-6928.951572719223,6462.702362787302,-6416.780521889748,6813.324379125958,-6329.162817732247,-6172.071823679057,-6427.241364246033
-6530.15463227277,-6951.002775477597,6460.3718015084905,-6419.238976492068,6806.03733446111,-6337.71775375491,-6199.197850201067,-6431.936729967472
-6529.066974630904,-6937.960848336243,6458.933014789485,-6415.476945433992,6828.037639661931,-6333.328162490295,-6188.20054048409,-6441.699461724541
-6550.467014493121,-6962.147703096529,6468.0219411687085,-6416.834533596564,6817.6692100687815,-6339.811011003221,-6207.928971798133,-6448.959387824075
-6530.38467757988,-6934.390698578891,6445.39736953797,-6399.396048060825,6794.1599388197355,-6336.098931847437,-6163.717724467901,-6432.330764348153
-6530.527120659053,-6939.240920656454,6445.206543594948,-6377.336261985022,6787.800036755658,-6295.950906229406,-6192.563161171921,-6426.659666818748
-6505.316372861796,-6906.77456597625,6434.877040420759,-6349.30447633516,6768.865343546711,-6306.770576367296,-6184.375269322573,-6400.167818892485
-6493.692240535743,-6904.5374067277,6426.419457740078,-6345.773217858721,6741.779139809076,-6268.802984029745,-6177.119179185278,-6404.341094866682
-6512.967605885207,-6925.051072784564,6428.982263535487,-6373.78428405171,6788.797351353694,-6324.11945153172,-6161.863357753307,-6402.178139394252
-6524.240202624206,-6928.975293022534,6457.370396113513,-6372.397839318943,6795.876134594848,-6318.978197057732,-6192.488705275526,-6419.612351596855
-6535.554975678603,-6934.679716445222,6464.919705573619,-6380.9801469185295,6794.129077663958,-6323.929214642076,-6193.66448216857,-6424.335128699679
-6535.891942245577,-6927.92688843834,6458.519028537453,-6366.926165504392,6807.328425574666,-6327.601125899808,-6184.431466891635,-6412.338018974916
-6535.38914338767,-6938.218721762532,6463.779183159947,-6372.888905942728,6772.235075653395,-6334.203016178506,-6221.979560955943,-6436.226678258051
-6526.432653054683,-6924.724645593077,6447.698588518147,-6379.823327721683,6788.622235483342,-6321.346052589096,-6191.905161475806,-6435.936686536991
-6521.065293278887,-6927.506527365022,6461.139238762305,-6370.312719126756,6799.362829387228,-6306.104258096988,-6218.07858322184,-6431.162113521388
-6545.598969488766,-6938.409223755125,6477.955406741395,-6374.088109245141,6778.36672829217,-6309.202907248964,-6237.9685433084605,-6421.577854121532
-6525.8335648841285,-6930.068271390455,6445.892933885056,-6362.3632304699995,6780.624007270516,-6310.151985251904,-6208.419569465474,-6426.746475062611
-6514.860776798743,-6913.412660793062,6464.415948547223,-6369.583208122881,6779.925198412384,-6295.997730953038,-6215.942489961379,-6427.68390084961
-6502.527017058248,-6899.997053089599,6438.972747060978,-6364.560507039033,6790.335611777154,-6330.3968766516255,-6193.150090532755,-6422.007131434215
-6515.687003259626,-6926.814335263631,6452.559929963532,-6389.500039713244,6789.7659190724435,-6330.728229357762,-6205.986021024587,-6422.873152740795
-6525.225367267669,-6924.161432126943,6460.103811322099,-6391.278680261307,6815.596426972012,-6357.785697307305,-6213.297529997142,-6421.480218222389
-6530.623283619085,-6947.849823009216,6461.4328981556,-6399.794558564581,6828.736764856916,-6342.050030907631,-6206.9388582021675,-6435.5816595856595
-6555.1942614014415,-6949.319474824418,6447.0288111382415,-6387.527250676425,6827.017634379586,-6344.298683107415,-6222.032355944525,-6427.691064161367
-6556.796350755725,-6945.703603040565,6453.071589645707,-6402.2777351123295,6797.05308673558,-6351.738922187406,-6194.6992100893685,-6446.584574605113
-6559.93849523638,-6945.4076345432395,6475.58947984016,-6395.798983329321,6821.0988050576125,-6350.432179065904,-6225.325584443871,-6424.690777446519
-6532.8159273068995,-6929.172595239492,6468.404109039723,-6385.529488365461,6802.3268662818555,-6343.117515741992,-6220.981427853739,-6423.299967343996
-6538.879912492839,-6947.311202521671,6450.001946161714,-6384.68320511723,6812.457554461838,-6319.481071480775,-6225.672074371333,-6428.547226915427
