left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
-6267.154424107944,6299.659470708464,6034.502306950215,6227.752086454838,-6502.537166969972,6335.494173628264,6039.008613984919,6330.4140850666045
-6266.794284889558,6292.936323011497,6020.753340035205,6218.307024099121,-6536.41459708605,6359.096441624018,6029.845360758338,6323.421411923659
-6260.09233769222,6282.568718486528,6013.948785739551,6201.143780189271,-6519.846762318964,6351.245296700399,6020.935938608565,6324.175469766112
-6261.912098447447,6287.265794395363,6022.7041534289465,6203.508645199745,-6517.4367607761205,6311.110771820111,6035.876733163671,6323.396648693117
-6243.694105935707,6260.253102018277,6014.752654148682,6191.0344628858165,-6496.972983774674,6333.007021238907,6022.4540375560555,6296.847436643185
-6260.886474085136,6272.942926881239,5988.740987412567,6192.665168151127,-6498.419146154139,6304.896626643502,6014.412429668527,6300.568842668571
-6248.862588750021,6263.889612414369,6028.155167840369,6187.926975454532,-6485.734190493797,6314.5523199476,6043.5124275969565,6295.947035190715
-6239.108628187005,6263.756074658385,5991.780160585164,6179.511893902535,-6504.513466501814,6305.908482485803,6015.965975238053,6275.698198029243
-6234.584085683822,6268.656828033649,6012.934537969263,6199.629459688924,-6496.934523099461,6312.09758017466,6036.919344597603,6300.419135045431
-6252.896996098992,6275.329164103939,6013.268334806346,6184.826917680617,-6529.567637604004,6324.952235953532,6032.025660841943,6301.353965007184
-6245.0298662011,6261.754854756695,6017.212315107661,6192.174514256671,-6498.849043931761,6322.623551858532,6034.624470225334,6288.65287110833
-6238.784865457603,6252.842756106688,6009.066554080306,6201.038271938136,-6506.449397661916,6315.360538255974,6021.390090152137,6304.47780520963
-6235.016140608965,6249.673464283408,6008.872626440871,6183.765310678023,-6517.939121832547,6292.17089620813,6003.7351701862235,6291.2729259288035
-6241.883359954164,6240.908723999004,6019.404914832791,6194.614739954262,-6519.465073766588,6316.984232399552,6005.915356187317,6303.564923607871
-6270.963914155496,6282.222636749532,6021.106312431796,6214.99873291267,-6517.894974083338,6364.4575233728565,6033.356770754257,6314.639678466
-6260.017714726124,6283.220464215764,6047.199974489323,6194.648574328659,-6518.341998667413,6339.697068098202,6057.347638238044,6300.907103344793
-6268.763009436314,6269.968866346736,6027.5759386765885,6197.297726357853,-6520.056222686354,6346.12312315016,6048.175489818986,6304.745655193618
-6248.489515878514,6268.055132021054,6019.199457537875,6190.235711041086,-6500.990339992985,6313.565469353013,6043.478642512312,6304.391473576418
-6252.55913589861,6263.887549492962,6022.6453935365535,6182.726023946591,-6507.682677983274,6326.874895506442,6028.33637678159,6292.7934276743235
-6234.813976154255,6256.166787853253,6008.456043258512,6202.592357194248,-6511.4867180451165,6330.55176700245,6023.5491155601885,6295.8795481951465
-6242.131502578487,6291.599543848593,6017.811163139197,6204.059818909503,-6519.877773229693,6331.539076016143,6028.219861896394,6308.905561033406
-6243.803004291374,6274.803364821811,6014.028963154957,6203.778468886856,-6534.457745237604,6312.695065324561,6030.938360808394,6308.857791051082
-6244.130119995419,6269.485800164838,5998.254447863498,6203.722203359115,-6519.663959227076,6315.337001914384,6015.074613107697,6315.912408396747
-6228.084121101316,6252.790651441096,5998.427414482686,6201.863942384859,-6515.334287737657,6333.620362738197,5999.090812253124,6313.287960266108
-6250.755285649922,6274.796206394888,5973.926158175793,6194.6416555075575,-6531.58882743173,6316.82192473201,6001.124781170299,6306.43629292582
-6236.126182411052,6259.05763579002,6006.1289111634205,6209.256470777812,-6539.722199092566,6339.471009361446,6033.50296867954,6317.6667531567355
-6249.850030593995,6262.994300305174,6008.372602452775,6194.204880919734,-6526.5147367602885,6315.613969562392,6025.036138219538,6309.192839488461
-6244.282687343185,6254.607394064112,5998.484835773585,6208.997581344295,-6530.6784978951555,6311.6859396964355,6023.542240715228,6307.432812725131
-6232.343200239935,6257.0873111734645,6001.280405221373,6183.759918226733,-6523.171851343144,6299.056755677393,6019.85101173444,6295.538297864105
-6221.436779747093,6268.651444738473,5991.050419294693,6190.119853451212,-6517.315764265144,6313.824881526236,6012.078713226043,6308.27190231849
-6234.023561613854,6259.034988153479,5980.465685823881,6190.903974183623,-6526.7789187866465,6323.805214050059,6003.395554271146,6305.775018412937
-6213.063747835359,6254.138313481665,6006.226129247468,6168.780719991695,-6526.909144145629,6290.466564451914,6029.411007814896,6305.767486960709
-6225.941923345055,6246.767029569978,5999.597718453994,6186.269917116188,-6516.87440836307,6314.828437119549,6011.585268127426,6314.880859678067
-6242.4622217001415,6267.22258011986,5985.413463173691,6189.160692557733,-6536.1310262447505,6319.523832843735,6027.391049114046,6314.06537833748
-6237.28573578078,6291.973559459952,6015.0010352949475,6197.800138424322,-6528.560803308891,6319.104568052281,6030.9641324728145,6314.982856031398
-6239.400345646085,6276.367235160478,5992.853166879997,6190.359392423273,-6532.010925758791,6335.683344784423,6010.680539108801,6317.264472557641
-6226.950811870509,6255.599017722416,6010.97020898223,6164.78971660881,-6495.344219289108,6326.056411274498,6009.950895322935,6308.510817202164
-6199.5386364897495,6225.302735823514,5958.302570856596,6180.900486561494,-6526.379210665177,6295.669382850109,5974.418601214896,6286.394175211291
-6204.735580750296,6232.699223089821,5963.158051558523,6177.992342080788,-6499.248650042789,6295.885734889947,5993.653779788681,6305.055796980159
-6229.2620519422235,6254.773536434559,6002.560341744907,6202.208871072702,-6547.225869618113,6323.126823469267,6020.971281748173,6312.674636253382
-6232.000012330341,6256.305199093951,6004.02478491055,6196.390773872543,-6529.433372497036,6306.344998450517,6024.889495923041,6317.774413568012
-6243.723120792057,6272.091743519783,6017.2746695317655,6197.855478071738,-6523.501116673891,6330.983914645864,6026.351296983169,6345.21701248678
-6247.1796837529455,6275.448286982911,6026.155569910225,6178.558104717104,-6517.804854550253,6329.827613793315,6024.572410005274,6332.570575200076
-6247.842877389026,6258.301763121356,6007.514806395778,6190.135427607499,-6524.845008210241,6321.210219317269,6022.343705946264,6326.212672026066
-6246.126404108991,6280.643631963158,5998.043141158889,6203.378675063452,-6514.8268587312305,6322.703209856576,6032.203998803633,6327.857009510902
-6273.71639036259,6294.970696513151,5996.9306472916405,6188.426797347934,-6540.608791303378,6333.5693846931235,6051.383336908436,6313.276666022023
-6269.339447474712,6288.79569265027,6009.167142449222,6202.172576254704,-6536.689280294884,6348.48914194658,6045.894949806358,6314.833341824106
-6258.81966060823,6288.980229306521,6026.842433568782,6181.855931583187,-6515.734259639158,6338.763037140117,6055.364543011784,6323.086879810245
-6241.288022959207,6271.17982957574,5982.60332894562,6167.529601398272,-6532.646505035132,6309.576692789674,6015.967469561129,6301.112609020613
-6232.994137377136,6278.791611927688,5998.619226176452,6201.85883684255,-6529.898079678003,6320.362396300932,6025.185632472285,6334.530609755775
-6246.076292304074,6282.84729292546,5981.401449822221,6173.910578121352,-6541.014278298754,6341.42648254845,6013.877605026656,6323.029090824794
-6238.953339023323,6286.176507049331,6005.93490864332,6207.682223648203,-6521.785749608807,6328.561481374888,6028.478539832415,6342.095522890003
-6257.87458148476,6294.546104869252,5997.514995879144,6189.146736522129,-6533.242878932271,6315.087883651969,6031.0141630461,6329.272305869598
-6254.238362752701,6283.273843240956,6010.771165125739,6192.712360292767,-6514.756238699299,6324.785029237308,6026.550330991211,6323.028131724281
-6260.255098157386,6274.145246146446,5984.0400471703215,6186.73675636601,-6524.48526701891,6321.816093752646,6027.166205478148,6297.908388147836
-6263.154982199811,6266.830539726516,6006.060788767795,6185.153413560142,-6514.51167647192,6326.266598764637,6035.630338604018,6317.640054774916
-6244.455172242368,6268.098971965475,5980.335601956678,6175.215393916449,-6543.66096330997,6336.368202573035,6009.256997004911,6301.88966299923
-6244.480439301131,6276.608724621957,5984.38616743236,6185.386871558878,-6512.852899142268,6302.99166740696,6026.631701038553,6301.697864205039
-6239.273713840795,6258.130467087811,6005.7609551296455,6178.336637251015,-6510.045022409441,6310.809258662761,6021.138591840762,6316.097542798888
-6256.078946011062,6279.588692889267,5989.302364468649,6187.72063617176,-6507.995509446294,6318.381246182676,6029.655581543441,6306.7404691571755
-6255.8026131066335,6284.795837725526,6013.972268702832,6187.195154386228,-6521.700210049039,6323.656348713565,6033.377412396971,6319.079419957617
-6254.2567035053235,6295.668988032749,6006.306804036311,6180.412896715937,-6522.022556250722,6344.2447869335465,6037.7487863637725,6318.695326721258
-6255.936806012777,6307.137783070984,5987.434089092246,6183.235122141543,-6520.398343715691,6340.039658179594,6022.5188249376715,6336.726909071936
-6226.388674916405,6272.152717583726,5991.226689640174,6174.279033366681,-6515.411943100282,6329.74790566086,6009.721802855474,6336.060879273885
-6229.647193235531,6257.4123666346595,5985.588057917804,6159.272162735273,-6513.721458995391,6313.673399642714,5999.7211433234,6327.174186933418
-6226.226961805334,6256.729194907108,5973.766369974503,6198.0212596253195,-6526.856398736586,6334.75960931479,5999.236527191359,6328.253426443907
-6247.693201172945,6279.4074043744995,5999.597401843635,6183.939618747155,-6530.919814639831,6336.890993902567,6026.518311693065,6331.934932878128
-6252.675431444109,6283.210251935184,5992.360782456369,6199.190460554914,-6541.654726799258,6333.16402003852,6024.204722203968,6338.33825352323
-6264.718832834992,6296.859932719185,6007.565496792853,6178.624602606064,-6514.989183842766,6334.384340129538,6037.226902393203,6320.623710120788
-6253.158213375873,6280.282087942256,5989.047249114983,6181.6719478781415,-6520.519134285069,6334.780235208005,6007.876746638364,6319.058354190162
-6254.249183442136,6285.439939706684,5973.072003092678,6178.665996941571,-6519.501058041936,6319.005271559574,6013.740927878193,6316.228209385163
-6236.922892928031,6266.032080995394,6010.161998799264,6190.819459435195,-6522.669948905754,6313.877536750063,6024.913021031158,6325.437630519038
-6254.649923658208,6274.653161547601,5995.049150073666,6187.751041059137,-6530.478576373353,6319.523441304869,6021.766265852375,6323.838332333631
-6250.4492457512015,6290.154796058718,6020.804445440702,6201.499363070249,-6505.659305001633,6341.816518508877,6036.439861247313,6334.973358744854
-6228.964250384003,6266.927745144805,5986.749105529091,6179.02440263425,-6522.779622954319,6326.786872122652,6020.192482426877,6316.778562899857
-6238.906051631675,6271.465719837413,5980.483712013658,6169.0771274235385,-6513.868396797612,6314.937165591924,6033.5150569185635,6316.872752935755
-6228.82516079092,6266.684069875853,5984.063852973011,6155.214711884188,-6523.685783811148,6336.045714105621,6029.284019101567,6318.533221056518
-6238.70139084282,6284.796775394306,5978.169002428943,6174.487390146567,-6531.630649858315,6330.412832179513,6023.006966249591,6317.783867071162
-6246.128091357232,6292.987880611969,6005.667370424935,6193.235092429249,-6532.677322778166,6322.150390003945,6029.281788075463,6337.118003865667
-6250.34235129221,6273.568706495394,5995.397927744352,6197.317980601808,-6533.18988388881,6334.737870606956,6015.471140526743,6327.937393616852
-6278.776739171299,6304.954894567692,6015.983858406322,6196.641902146017,-6517.732205220589,6342.07802222621,6046.915936476042,6326.318161962565
-6270.604467156306,6296.831765207841,6012.221703495608,6205.012545940007,-6521.91276302511,6335.022265580333,6022.160038513553,6337.239770080277
-6258.922164564107,6276.0252364175785,5974.585108539918,6200.142807877295,-6524.841250942272,6340.367420905587,6007.162519507446,6315.521103294943
-6256.418408559099,6287.442175649302,5994.3050031261255,6203.3681620569705,-6521.981704370057,6319.060916333061,6025.671351945017,6313.369524320965
-6251.8928959631485,6278.55067715458,5981.155187898672,6194.849850709249,-6544.823757903646,6344.45773640914,6013.121261688678,6310.955680271549
-6256.377309566016,6282.762666725771,6000.823065783264,6187.418880992438,-6517.095706367225,6326.735282822742,6024.311386886457,6313.418285503663
-6228.53406021495,6258.416355956598,5978.3630072584665,6196.404315378939,-6520.818424465928,6313.294301090016,5998.749730387072,6311.219768750696
-6241.696665867092,6283.863395728722,5991.825355648313,6174.500281591518,-6522.719714506529,6307.252559048243,6034.664477838103,6314.258596190921
-6263.12918697587,6296.61094683808,6001.772855993115,6202.768967299283,-6527.068600745322,6337.32706275429,6020.247490123017,6331.2423327452525
-6265.816066876342,6288.236246256825,6016.0418588132525,6193.896706383119,-6525.348299424041,6329.557920241583,6042.988482992812,6329.61576544108
-6260.322377039631,6284.744560877519,6006.045514473772,6191.835403654622,-6529.318055389333,6332.229766229383,6033.7186292220495,6302.256879151245
-6240.970634151926,6264.761301139481,5990.782120519192,6189.2684889783095,-6513.143830453701,6313.148326195659,6036.881777322018,6323.811813132939
-6233.844391281493,6265.23895344995,6005.869406010592,6169.518642244641,-6525.576697907247,6321.587200469255,6020.567509484513,6329.41089237297
-6234.618793810618,6270.197503105687,5992.974664850268,6193.4342796461515,-6518.260946976614,6322.061568542652,6033.4215084064635,6333.282553110485
-6243.0525884547305,6280.131298351185,6008.74022796635,6176.9306828645,-6530.495133854075,6325.199164357165,6033.352915628952,6323.408822331494
-6230.457302471096,6256.27403802689,6019.64035199451,6178.041413749511,-6504.0326194934605,6319.045096024167,6024.131526507588,6316.232685039242
-6260.887280062847,6283.284239578146,6022.04903725609,6188.68775043806,-6525.056555650569,6343.246056858186,6037.862673838418,6329.170189083435
-6241.7304605345,6257.025727906465,5999.187808486322,6182.544894196835,-6538.2412155382235,6326.94383224144,6021.333074157912,6331.563695375286
-6239.12523826122,6283.037649767522,5989.077960949961,6166.817796796383,-6516.266316475036,6328.9676656408665,6036.991380093817,6338.931272568785
-6204.916652162795,6257.443770855176,5977.332893760576,6174.818244835658,-6552.69138583964,6318.488146653433,5996.845127935359,6342.862383360441
-6233.808768334331,6280.300562190054,5983.0570655799875,6186.100766421349,-6511.44615397272,6305.963302777988,6008.64789532118,6355.628063142307
-6249.461175840261,6277.322929813311,6019.03435457336,6193.471203751341,-6536.178639098438,6328.546014819947,6010.1248593568425,6342.5401997471845
-6253.281533468253,6290.091130807683,5992.968288302158,6184.701611540691,-6545.085317874026,6344.981007888607,6010.89518270964,6325.373113875309
