left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
-6675.857253598023,6608.603228717151,6304.174726633054,-6380.50892547316,6804.302889198686,-6370.936495713758,6562.216589159045,-6471.333172853334
-6673.068024596765,6608.168361247662,6325.03403380064,-6371.60411661899,6800.030086932233,-6397.261694191178,6569.284138073855,-6460.969132439182
-6660.004914179287,6616.806368205045,6331.47684952608,-6359.5824183292225,6786.053147483269,-6409.898456414759,6568.339934070234,-6451.593572367689
-6688.1512594073565,6630.933592874588,6355.320236626467,-6396.710761481982,6811.353639080702,-6434.308874930794,6607.003475585671,-6489.309702359238
-6721.564115069064,6648.123512312786,6358.841240827801,-6384.34306018697,6841.498249550766,-6433.705664183669,6632.550636810381,-6471.251185829853
-6713.084685081403,6648.41154917025,6321.169896255275,-6387.730843371528,6805.921273348669,-6434.247953976791,6641.160021429869,-6448.191846264194
-6729.163346519242,6667.078735522097,6315.261310281342,-6368.287457281576,6829.030341556423,-6461.653065256216,6646.184583755448,-6447.38250980075
-6715.141186547637,6673.178244611277,6318.759791750435,-6368.481972705384,6838.224662049211,-6464.70980732866,6638.776837645603,-6453.4738956653555
-6729.046506017954,6688.602182280929,6333.191860392393,-6388.556398422971,6843.511041744811,-6427.022316352654,6624.908176736543,-6465.4426024976265
-6713.9550922918115,6671.348630628601,6326.146562616405,-6378.447487475739,6856.9636023322355,-6460.590445463856,6619.140295789308,-6473.381119570247
-6734.405002018372,6655.703111604972,6337.164104325593,-6369.182561094055,6835.882850964294,-6408.189857357273,6625.727291517079,-6465.726766428265
-6701.044600248643,6626.266143346156,6303.753424884245,-6354.898906953708,6819.791206651558,-6434.509811787468,6576.7564786208395,-6437.436091922871
-6697.885700095912,6628.095835162873,6318.413072544478,-6373.448555082514,6832.101759239522,-6448.27165093694,6602.145919598504,-6461.092222264602
-6731.0162802355835,6656.229106345913,6324.584329861445,-6393.066614978397,6852.370832484507,-6442.734841156704,6601.748280716818,-6480.104235705263
-6711.52539052658,6635.376035934889,6336.951796494322,-6393.535918457825,6848.293852804993,-6454.415545283396,6598.848115745118,-6471.241086020191
-6715.0310055310065,6657.2296418558735,6305.240452121938,-6395.463920013357,6826.995365138405,-6432.458201409099,6585.767319395628,-6481.997163205882
-6659.433457234014,6638.263043308214,6304.906006063616,-6367.687825489572,6837.955797257105,-6428.640986840454,6578.303661165333,-6464.29042977772
-6693.503483188803,6655.712274118601,6327.918996734262,-6386.888766616816,6813.261232060954,-6397.421517895166,6583.400067462163,-6464.329592844095
-6656.459759472766,6632.353402995737,6291.135009858967,-6364.590282759261,6820.388610476705,-6427.264658637447,6527.7020205493645,-6463.590808352059
-6653.885077629832,6612.284497894037,6303.063059350966,-6359.085298148078,6824.604337748311,-6395.939733891401,6548.440309880465,-6455.954078439707
-6644.174243796759,6607.631435624187,6289.88452144077,-6351.78402569134,6831.406545570557,-6409.648866350396,6545.394676094485,-6452.666905766298
-6654.969594802754,6607.7333087591105,6334.766440612588,-6362.111048777366,6832.66095960478,-6435.558297841408,6567.316985552417,-6469.700913908373
-6691.832262663447,6635.6529227734,6353.417793841326,-6379.025369243149,6847.901481530723,-6424.606878687119,6588.934322153102,-6479.320201988233
-6713.078368125426,6651.3907541815215,6376.0345987980545,-6408.720794209919,6841.994218239371,-6449.817312880625,6611.824884062608,-6495.02432285146
-6727.830982083095,6672.855764261174,6349.673681157231,-6419.1893606449175,6846.356759271629,-6456.592196498849,6604.44209623973,-6496.362511417313
-6720.8625509174,6654.283746211369,6350.310359645641,-6409.511145176686,6837.490527770344,-6452.458277243483,6605.895772082443,-6488.6585057702705
-6718.048719830065,6633.42777176866,6330.396201465308,-6393.011606467676,6830.093400952064,-6437.160396688527,6583.314453287072,-6475.165168401605
-6691.596710312113,6632.683830142515,6300.352807538888,-6367.469081517962,6820.223268385702,-6465.411821362529,6581.148840469589,-6478.520640800238
-6721.694228542063,6656.077856493398,6335.86754646824,-6406.938013094174,6851.469646364348,-6423.534731438837,6592.793986404983,-6487.686655856948
-6706.710828136552,6653.122149710763,6326.447357651679,-6365.287768371245,6844.276425042666,-6443.62059269843,6592.999586920257,-6469.663923522604
-6711.963119300874,6656.786976670291,6347.898742538585,-6386.381810557054,6835.266969574998,-6442.377338492673,6632.143937375748,-6482.821292953898
-6708.013454519393,6645.448820675536,6317.858561222964,-6385.62821733613,6837.247740812668,-6438.22750301323,6608.633071376094,-6477.501122340655
-6724.122349218408,6639.599064398737,6320.3669407661755,-6396.0625783571695,6816.737318665898,-6447.987760320555,6607.396680915189,-6491.886114774447
-6714.493938634153,6635.159768550335,6318.871797566952,-6384.444887922054,6825.864884709624,-6425.199692986859,6579.754479989137,-6468.062397795057
-6699.604035381348,6628.060273279607,6308.578883587263,-6363.46272608322,6834.880202135786,-6416.98708105751,6574.141135127662,-6457.707276209995
-6718.075932156194,6636.762314963418,6322.27427915252,-6393.394675932737,6824.11546428031,-6444.760252039249,6573.163766432183,-6471.051016583212
-6713.878177481315,6638.441740101903,6339.502363579493,-6383.162403832538,6843.586521950196,-6424.241145995523,6587.112624845301,-6477.112935696501
-6701.767314104625,6621.859459187306,6326.594715100319,-6376.347532391127,6813.160967446288,-6440.727767323451,6571.961897672339,-6479.834989478468
-6654.887133394455,6587.039759534184,6313.759130456441,-6370.229376565311,6820.278514521726,-6408.388190527605,6550.079306495677,-6453.906872742443
-6663.1622373349355,6591.375382209256,6324.3039515771825,-6379.707249779717,6812.018677911022,-6396.0303541107605,6570.880331721999,-6467.720707382743
-6646.445413671562,6608.70363636198,6337.320906223746,-6388.478373755632,6872.9374139289,-6417.133107125126,6577.554182802684,-6473.201664733076
-6683.222450568171,6638.833063526977,6364.177095541721,-6404.741878194281,6866.01151021241,-6382.60676890169,6597.1625432513665,-6491.3313008595715
-6653.626131787522,6614.626666718496,6336.538586394632,-6379.508387765068,6863.65505289874,-6431.3515039544145,6571.53274610593,-6461.440922745076
-6679.1767535491945,6634.3792922463035,6330.063819162975,-6376.3924083654565,6873.206734352642,-6430.532872220395,6588.272275382166,-6476.350882139933
-6686.570430287269,6642.707083141908,6348.744981204588,-6378.52855872105,6904.4786404933475,-6464.9230775461,6597.657517167754,-6462.888783829948
-6675.578832670535,6642.9424699507,6343.860257074858,-6400.2184875105495,6871.838123525469,-6484.276229400525,6593.777274993574,-6482.737965903511
-6690.206796453144,6635.423095557735,6347.259886478527,-6402.350004780613,6847.366102835419,-6457.816868949586,6593.552398650141,-6493.912857407033
-6689.525132256725,6650.612111211523,6333.957271764013,-6410.450640713228,6843.50591608148,-6433.523194398088,6566.991577134409,-6500.142348470928
-6676.787663810968,6637.296310185725,6314.944675990706,-6399.520062770629,6817.839604196673,-6449.362188969554,6567.9068787707165,-6466.030855293334
-6692.953160545597,6646.168506106922,6294.941156791868,-6404.4972830590295,6849.687269368963,-6445.9738006019015,6560.259807442946,-6483.0928293314555
-6687.637030743992,6637.149511004759,6315.758769161204,-6393.980076478154,6825.838648290019,-6418.654769399108,6558.121714439019,-6487.789962934184
-6666.150105962325,6607.158420826383,6311.401841286714,-6373.069231553612,6805.266594606813,-6376.452274220366,6547.674636725855,-6461.109319352377
-6647.254914173925,6589.588162759202,6318.279742124126,-6388.76199844398,6813.152416343868,-6397.182843567406,6555.441879134297,-6478.54450005505
-6660.0638863307295,6609.220180479346,6319.198171795695,-6393.397873688308,6826.632412129706,-6403.275023003224,6549.811207683185,-6469.932262736645
-6652.318187337329,6604.663549082729,6312.685341710676,-6401.483053336277,6822.453822167378,-6406.612316471072,6554.99654756025,-6474.96116745769
-6666.685554068421,6622.48878562644,6279.161714789025,-6396.299505302633,6818.112492445018,-6432.913257866666,6547.336242460458,-6483.317637658101
-6657.39788712714,6633.474519559615,6289.698251804604,-6406.5198868553025,6837.646813221513,-6443.499368883499,6563.864998323521,-6488.88520324359
-6708.288274828387,6652.768044381426,6314.097339050789,-6403.240088754042,6815.837101714874,-6461.400193006317,6581.607772294088,-6480.458716346389
-6677.809206026497,6627.164251742682,6293.209419696193,-6370.3119023028385,6823.0701430648005,-6424.077505957644,6545.424732723091,-6453.689225764305
-6667.553289488927,6611.3361577445,6299.498372214871,-6377.794469489366,6822.25018294536,-6390.390362154695,6550.098189544821,-6470.188300825599
-6643.106921152568,6601.026163891556,6290.499722264439,-6333.79900762815,6827.937133470455,-6408.332897716833,6522.388317609889,-6430.238157097481
-6635.232186868928,6607.103863188583,6269.139435262275,-6355.091654998302,6814.129884302766,-6410.657267091718,6520.233613917588,-6443.459640489094
-6660.006325437189,6611.458088368806,6307.232691298741,-6368.324756504572,6854.20083437144,-6430.870775538439,6537.8867324565545,-6455.763937769716
-6652.037393217063,6620.155432924246,6311.970482129177,-6382.005422667232,6823.572788791959,-6448.050559925341,6550.513074274438,-6483.302921682636
-6663.571580527309,6629.47127755688,6295.755041209258,-6384.68853986402,6852.995996742839,-6450.849920322056,6555.641877546861,-6473.722477011472
-6651.373816386684,6607.733279362607,6274.214667466825,-6358.543340622913,6792.615706764112,-6417.596064347314,6554.598719643882,-6449.497295339133
-6649.613951671687,6599.342638473661,6271.975528465972,-6355.6752824347595,6782.553138290117,-6386.5444774043335,6547.604441344412,-6416.040195067884
-6624.060640637248,6597.777777951316,6275.241929420722,-6330.021387689654,6768.822163975642,-6354.21458810582,6542.56301595766,-6412.149358272469
-6649.878468127917,6606.087897464909,6294.915490362276,-6364.535985431173,6786.236041575148,-6396.539778307354,6545.741943879324,-6442.716499554793
-6656.2863944364435,6604.3650952680455,6305.244814903933,-6370.358316960321,6776.295523019692,-6352.547422963704,6550.750866943327,-6427.375981137592
-6668.880321198659,6599.077851419226,6296.531525939431,-6389.657586285642,6795.498816788993,-6418.534231655556,6536.600196382844,-6475.659002521221
-6668.663078760837,6619.183932041129,6297.155528344035,-6395.851728453767,6818.998594407411,-6403.560819291363,6555.38431128522,-6484.844018141433
-6685.259643934889,6622.737627993116,6280.301809415443,-6378.361556555812,6810.21099304524,-6398.0648051600465,6527.4904367205445,-6474.611322859165
-6662.23733341944,6614.598997138662,6277.3281049761035,-6361.735739497239,6799.169420672774,-6428.695091006274,6528.1354738344,-6463.290801670853
-6679.544906637122,6602.949014175397,6311.12128757311,-6370.5804161966125,6778.324902812513,-6381.668454366465,6556.561650520432,-6471.163439843144
-6681.45504598807,6610.514280871088,6309.771389257322,-6381.399909382601,6783.342546376437,-6410.973433423199,6574.533612505665,-6470.450379637891
-6700.2991346896815,6617.291940357202,6343.293961455846,-6402.091613505366,6808.025839557899,-6411.045848060653,6582.1206222780365,-6479.685307289498
-6714.244927699743,6629.9658514529065,6329.408015427449,-6379.048255320148,6793.165475520476,-6425.261590122089,6590.084123422441,-6448.159525370632
-6728.515634652531,6661.896981497885,6334.670504681007,-6390.0386526915645,6812.82641459204,-6467.9385265374785,6608.305829100147,-6468.782581615385
-6722.51754819566,6643.569519397308,6334.915281562613,-6375.640802703106,6824.161186642019,-6445.566108262965,6605.892518844878,-6444.003252806658
-6688.499277187635,6615.569982566638,6311.829342401225,-6356.707996213866,6768.775626257068,-6420.338862070473,6587.793507176204,-6444.775390020785
-6688.569442476971,6625.196612556062,6310.2595651147685,-6364.8711405153645,6784.294263465381,-6425.910054896668,6571.807731150248,-6436.322323038931
-6668.377469112614,6613.285629211636,6290.931357762154,-6371.181799066647,6785.004520244067,-6414.703888966531,6569.952055243008,-6451.060728125965
-6662.984469881858,6603.3227283414235,6273.006423375392,-6364.875910240255,6799.573546276177,-6389.435724098868,6535.808885414255,-6468.240049801891
-6663.627559785664,6598.6536101400225,6319.133980399768,-6384.363110070981,6830.476937012942,-6417.3895587594625,6561.160003986624,-6476.689902887724
-6706.599530767488,6632.43691776957,6334.759076038486,-6413.661780045901,6858.116473685779,-6445.913115735575,6582.49832962565,-6505.951175709503
-6684.993767492963,6647.648827725134,6314.5946395239325,-6401.648954533352,6848.3852143953345,-6458.98582875303,6577.108007045945,-6494.678951430926
-6686.972127640124,6634.03037876487,6303.306177349259,-6378.314512235196,6827.678512491659,-6442.557795168034,6568.256863971195,-6461.533893766439
-6640.109844120317,6629.962254301882,6289.871608297488,-6349.118312351394,6778.734429290855,-6444.08898126795,6550.907037506737,-6445.479333307613
-6649.121210997267,6625.12873875016,6294.3443045998065,-6347.402934807139,6768.092584873626,-6381.267752624538,6545.112672646747,-6445.375744162111
-6636.4375486829085,6590.677614182903,6256.290322950596,-6343.967444181861,6796.765652453555,-6373.624251934928,6519.698469968623,-6434.682633315226
-6660.236191509404,6596.035163193793,6286.908078929798,-6366.159548188175,6779.081623366591,-6398.935782682076,6535.1120598610305,-6473.764683664459
