left_imaginal.nii.gz,right_imaginal.nii.gz,left_retrieval.nii.gz,left_manual.nii.gz,right_visual.nii.gz,left_visual.nii.gz,right_retrieval.nii.gz,right_manual.nii.gz
6566.455153426656,6586.339875546691,6381.573674949574,6891.877496765792,6742.082160053635,6497.89765845717,6392.588158887879,6718.325279070873
6565.491241462013,6586.912567522373,6386.1744957862575,6894.673680995921,6775.790328021625,6537.125293619536,6382.493580566639,6718.4647762685545
6567.631283401998,6595.4648558612635,6386.025210181003,6905.894573537174,6789.191751408712,6508.558396673229,6381.356719073377,6709.439773583112
6586.488098229822,6602.964782179341,6417.637634348477,6907.115086462583,6806.434007319124,6564.47252153103,6414.735310651656,6701.584359017587
6590.395547495465,6613.8858466613965,6424.218805076479,6916.927739492362,6783.287919624908,6579.327524429477,6415.833852472355,6707.526043404429
6592.318826782914,6613.646583313843,6398.886863095944,6922.107124825906,6803.978386280493,6534.201279871611,6403.227144625541,6712.752169946225
6573.31248786447,6593.381289808611,6394.866802304036,6881.893230094563,6774.868097221121,6542.293491706376,6399.727002755175,6679.914011791194
6558.673173396879,6585.295241942159,6380.526076935476,6880.814752724859,6754.468847832709,6514.14616519895,6365.402412844718,6677.606041829736
6558.6168624261945,6590.318665229128,6375.713849916792,6880.730999200528,6747.176294811263,6530.442227831753,6378.998216227853,6692.197791265079
6560.306368375983,6577.680873160512,6386.544157339691,6871.413415343242,6745.810130563125,6516.823719322868,6376.739899926877,6679.687294802798
6559.340666549033,6572.1949321535185,6378.113068359938,6881.8754387400495,6752.67965611772,6490.184061929054,6369.8629676150695,6696.714256763761
6547.0537307115155,6563.6505241191435,6373.56107007932,6867.777231395988,6750.19432953908,6498.981498021349,6356.350890325947,6676.982258503307
6540.627284636743,6573.073243633465,6338.654670193371,6877.117159867836,6759.478420680099,6506.8677165554545,6349.113279458633,6696.60128005412
6556.839552754761,6579.838797764001,6386.019156692097,6895.31282537241,6738.0197140104065,6514.498657223356,6370.186233901423,6687.403272353781
6561.300941742105,6578.74037889522,6365.466078639785,6900.919996815694,6739.2934477901,6495.208716730617,6359.282856252186,6698.175973207682
6559.143715646824,6580.317589111507,6375.487489153766,6894.691654278062,6753.948298307591,6481.6048696302405,6367.113353638171,6682.14595711868
6572.547886128942,6591.182129620441,6374.665840228267,6905.705938773899,6768.748313841851,6528.8001420845285,6375.233342099681,6703.186138018624
6553.077839487792,6589.349609079745,6378.848727604677,6885.543627461251,6746.435775418994,6492.296529581162,6369.945833937353,6686.399558630241
6551.078537288249,6579.437161137938,6378.049964749516,6876.286060281118,6761.94489217486,6494.178659788245,6363.585031687696,6685.026149130224
6566.241188716361,6593.05049185636,6344.219368011665,6881.440289513584,6745.268035910236,6522.6618658362295,6345.988410228813,6686.580965886931
6564.959007951585,6589.6989817413805,6378.371498421853,6898.243237343933,6747.04482285958,6507.907183341807,6380.821976416387,6709.850157875067
6561.016063594404,6591.627924512294,6368.843796566279,6907.008799990205,6764.564939426239,6516.564445014752,6375.131569917557,6694.152804067729
6559.84255092429,6599.340232537074,6383.330813652144,6915.772027236841,6783.505969963298,6534.701898984788,6385.577185327308,6711.540592434755
6559.847234545451,6586.288790101096,6372.5015741807465,6884.223007199507,6750.8303968548435,6505.536855318255,6381.571529206511,6692.6980468776355
6572.970954337494,6594.692654306641,6382.813503892843,6885.092576975963,6769.80821206814,6518.080009690786,6389.171146962688,6698.118366411634
6581.082017776484,6599.917537555873,6375.550340933501,6909.20757749985,6773.569371179209,6533.791320294273,6388.529362883913,6697.274470303223
6581.6502030312995,6605.254357639907,6386.399322597357,6904.993444903478,6772.324413158431,6556.42105781111,6385.298722641766,6687.214643843697
6578.170464671958,6599.904394949746,6380.781799013383,6888.217849300805,6755.087613994338,6514.752933788223,6373.077823652356,6696.9822673372855
6580.583268701744,6599.231892765404,6391.5209694263385,6871.134161459115,6774.921519399453,6540.362753434198,6386.074862870066,6681.985102168545
6565.748661548169,6603.043978240769,6385.139682143926,6901.898521978498,6761.47657362369,6522.658059560819,6399.347218503948,6712.264495995518
6564.420749284884,6594.349518756612,6376.609472860458,6898.74148174774,6791.921683470406,6559.120868030202,6383.15961240645,6685.794567862943
6571.755899213084,6598.143586489261,6380.163194101405,6915.084472089745,6772.182153340279,6528.9002585535245,6382.024189257631,6710.127491803
6563.4445130236345,6591.0427897933205,6383.079463783068,6885.876050532588,6754.298520796541,6529.467927941125,6381.930165216197,6671.594978752055
6568.475716378281,6598.11815470379,6380.265925671413,6890.003993255637,6736.241816609459,6518.785828113173,6392.176170385248,6701.684158785006
6561.609832056295,6604.593355138614,6373.527032828589,6893.548275712363,6730.281021168555,6530.82058222518,6372.872817174582,6688.5149023034155
6562.70073408491,6599.715751636468,6372.793951415844,6878.278280715667,6767.145016911277,6528.864573177558,6381.662642057282,6690.532790191179
6554.402964405459,6599.021991520965,6381.307736517971,6889.305465923874,6733.037190446422,6505.304230373527,6382.964795082823,6687.878448884617
6574.687445521399,6605.062675556093,6361.6069307739135,6888.794494701672,6776.957856038119,6534.591777964261,6366.168931137528,6686.282193602719
6565.670589883071,6593.438362613177,6377.713805252897,6879.424820085298,6732.84013747841,6517.585148063022,6379.518705041154,6684.1694423522495
6557.816406433966,6593.853246012627,6353.7472641322365,6868.850020925802,6753.076699891736,6541.3379189713705,6365.132548955715,6660.91702591866
6570.297481104743,6596.530855316938,6374.073646080648,6893.167810089809,6763.070402448558,6537.336013316292,6370.25745518027,6690.084385121813
6567.286230868787,6599.9905706030195,6357.44646464679,6895.276808387907,6785.20372094817,6561.748110933397,6353.3889763025445,6689.7475783151585
6580.298461374508,6602.497803939874,6374.033055527995,6900.293451818607,6765.472664080321,6550.05300260223,6381.3167166476005,6691.783211448124
6559.7273132369155,6597.044518868023,6376.813938034013,6875.968727237179,6738.278138341534,6533.272137421473,6377.417343401562,6665.707225557608
6561.545731868124,6578.573394345008,6392.948485706397,6873.384372466146,6743.690333683273,6542.434061896469,6390.702559780391,6686.032949077759
6573.438617328656,6596.672884913508,6381.791090920713,6896.629527905368,6765.846371316153,6531.695115396024,6392.902200419389,6680.108311014562
6611.287213951615,6626.508276003314,6416.746007170881,6906.1233411602525,6794.076248514004,6562.421276562531,6388.817280413579,6695.313512607292
6594.257607227958,6617.525962152503,6398.264263297513,6923.777847811763,6784.340801109236,6556.24554243243,6412.966067662246,6724.6351382224975
6601.879970475983,6628.684994505308,6411.775295279467,6942.266101204641,6820.601749319012,6571.961642930548,6413.929760297787,6725.363268667081
6597.976075520864,6626.463919507492,6415.697236613675,6931.949610868885,6794.875225434352,6571.198119884164,6405.443374961453,6739.754859414885
6572.721504420968,6599.624305791091,6383.934699097036,6904.525493784135,6765.754762741234,6544.568344227093,6395.433266232007,6698.470610945178
6563.365756478548,6595.625935590939,6394.185102814043,6876.197748549363,6749.093288045841,6527.068554094469,6371.714645562,6709.362448282279
6555.411267866234,6591.18401115146,6381.716432356181,6863.029000956794,6733.511354735885,6516.485356621544,6348.906284975169,6675.955441592277
6561.753217990058,6590.615074897082,6388.546053853672,6887.950163388554,6759.993404167518,6531.104563658593,6375.5489717179735,6688.248071625308
