left_imaginal.nii.gz,right_imaginal.nii.gz,left_retrieval.nii.gz,left_manual.nii.gz,right_visual.nii.gz,left_visual.nii.gz,right_retrieval.nii.gz,right_manual.nii.gz
7184.843218128561,7374.846268062064,6815.978198167971,7246.817893293623,7153.417585354082,7012.257305399102,6846.642801189721,7422.39201258681
7167.803896470247,7371.808762536678,6808.545377936451,7225.596988109905,7195.055461022411,7036.246164981948,6836.72716196025,7407.707745901791
7149.599068465133,7387.12180286029,6794.056005308978,7202.322833885043,7225.234521736155,7054.370762526954,6849.021063951559,7391.732319495382
7168.634632212007,7397.4108769625445,6822.876296233189,7193.795965423063,7245.635087676037,7069.029750592668,6846.523132339275,7388.881255929213
7150.015654581438,7387.297243772026,6815.136740558867,7202.220260081549,7236.4434931332025,7022.295087827345,6850.801495331759,7362.560359786267
7145.784360081567,7393.611763586142,6793.474491928986,7208.647537695867,7198.719696763932,7026.549472941369,6817.486784584504,7375.505968210966
7133.581217485864,7377.364156268746,6764.414816926528,7188.838530568629,7152.510938364074,6997.767253605711,6801.311267263579,7362.176586928724
7155.500895850573,7377.38916773923,6797.316082254025,7189.50915423485,7150.890765149663,7019.666784914801,6817.812711459816,7354.231062613584
7164.532511093771,7369.860798249479,6808.417748686736,7171.520468241956,7172.08345905825,7001.527432739147,6815.784894073951,7366.646423241906
7140.153210642602,7362.015538406135,6786.990220876735,7167.347592062687,7164.072403367753,6999.1161053863,6813.202043224584,7387.803305980501
7109.993492625734,7342.938413537066,6782.001587777391,7157.194994945322,7153.449418993586,6993.403795426851,6781.964015376344,7354.74921718086
7139.149166836705,7373.1496473313455,6784.496260448209,7177.861526407255,7151.271195872742,7001.796178746909,6809.949802441808,7367.989924783368
7134.453119625652,7356.743294860006,6748.493488382026,7162.007728418773,7163.601806633918,6997.020538502495,6805.800561972856,7353.522655446217
7125.631747496656,7347.326883864706,6753.641612894663,7158.838563715375,7175.900961069971,7006.854443185011,6797.637289130841,7354.7641325616705
7120.454015685117,7349.495924083221,6751.717431834093,7154.758541516336,7156.668007051578,6983.802650201081,6769.928567541089,7363.435296265227
7136.025380154672,7359.660665606559,6758.82456404907,7168.382426889702,7151.525547081181,6975.738370461472,6803.868940290656,7367.381888664814
7130.530914029013,7372.28218945164,6776.378357532178,7146.258889357543,7129.645898452746,6981.902793807203,6803.75127896448,7348.368219609394
7122.88537134138,7357.436565669061,6749.767732046392,7175.579337772675,7156.886195339521,6995.612110442491,6781.836299796161,7354.272967575611
7127.674057558746,7353.333043806248,6752.351617313504,7135.5514351511365,7137.124022611188,6992.233889554523,6787.98616206253,7343.664787161521
7122.823572024697,7361.295254822381,6772.913052203269,7157.63035492926,7119.825599052301,6972.572446396036,6802.552751945583,7342.056575092286
7119.946704411204,7344.5310852517105,6775.231677323507,7128.069565008414,7120.437385758203,6974.437823962775,6784.514087789503,7323.420754838406
7109.010006082539,7343.236385514785,6758.125436916292,7154.636689735878,7133.48650661611,6990.115284399558,6797.492437842731,7349.134869238036
7118.704291682859,7351.595404520365,6755.273118374167,7163.95039906454,7145.024267826373,6973.562962747866,6803.789150577423,7349.664737667151
